Date,Station,Distance_coast,Depth,Bathymetry,Biomass_mg_m3,Temp,Sal.
23/01/1994,A,3,41.46,67,120.30,22.19,36.23
23/01/1994,A,3,34.80,67,178.59,22.40,36.33
23/01/1994,A,3,25.69,67,188.33,22.59,36.31
23/01/1994,B,7,62.18,83,214.11,19.25,35.84
23/01/1994,B,7,54.87,83,25.86,20.41,35.90
23/01/1994,B,7,25.39,83,184.50,23.35,36.36
23/01/1994,C,16,102.10,130,148.45,17.05,35.61
23/01/1994,C,16,67.48,130,737.36,18.85,35.79
23/01/1994,C,16,26.63,130,351.13,23.26,36.27
23/01/1994,D,33,102.18,250,85.26,19.16,35.84
23/01/1994,D,33,59.33,250,189.30,21.75,36.02
23/01/1994,D,33,30.60,250,401.87,23.66,36.36
23/01/1994,E,40,96.35,600,113.10,20.31,35.80
23/01/1994,E,40,62.06,600,224.62,22.38,36.12
23/01/1994,E,40,27.90,600,821.08,23.76,36.28
25/01/1994,A,3,35.07,67,71.61,21.04,35.93
25/01/1994,A,3,26.14,67,109.86,21.96,35.90
25/01/1994,A,3,17.20,67,456.79,22.62,36.26
25/01/1994,B,7,35.14,83,104.91,20.94,35.78
25/01/1994,B,7,26.27,83,127.76,21.66,35.88
25/01/1994,B,7,17.94,83,324.96,22.49,36.32
25/01/1994,C,16,60.23,130,56.96,17.27,35.70
25/01/1994,C,16,51.67,130,142.60,17.38,35.65
25/01/1994,C,16,27.89,130,272.60,18.91,35.77
25/01/1994,D,33,101.39,250,18.50,16.43,35.42
25/01/1994,D,33,62.19,250,115.96,16.92,35.48
25/01/1994,D,33,26.15,250,28.99,19.14,35.83
25/01/1994,E,40,102.77,600,199.64,18.28,35.77
25/01/1994,E,40,60.75,600,105.73,21.17,35.84
25/01/1994,E,40,25.63,600,252.42,23.66,36.39
6/04/1994,A,3,45.91,67,35.97,18.41,34.73
6/04/1994,A,3,36.98,67,27.39,19.25,34.93
6/04/1994,A,3,27.81,67,25.54,19.73,35.03
6/04/1994,B,7,68.99,83,40.13,16.92,34.65
6/04/1994,B,7,51.77,83,34.03,18.31,34.90
6/04/1994,B,7,33.00,83,37.71,20.20,35.05
6/04/1994,C,16,100.52,130,11.30,16.18,34.69
6/04/1994,C,16,63.27,130,46.52,21.71,35.18
6/04/1994,C,16,30.10,130,28.94,23.18,35.65
6/04/1994,D,33,103.71,250,14.69,17.34,34.73
6/04/1994,D,33,63.91,250,30.75,19.68,35.08
6/04/1994,D,33,27.31,250,45.57,23.01,35.49
6/04/1994,E,40,102.12,600,17.15,18.47,34.88
6/04/1994,E,40,59.37,600,45.79,21.46,35.10
6/04/1994,E,40,26.73,600,40.94,23.18,35.55
8/04/1994,A,3,51.93,67,26.30,17.80,34.75
8/04/1994,A,3,40.96,67,41.36,18.39,34.85
8/04/1994,A,3,28.54,67,43.96,19.55,34.87
8/04/1994,B,7,69.92,83,13.28,16.13,34.63
8/04/1994,B,7,52.70,83,21.61,17.40,34.66
8/04/1994,B,7,33.80,83,25.78,21.28,35.30
8/04/1994,C,16,101.38,130,25.59,18.38,34.96
8/04/1994,C,16,54.50,130,34.09,23.08,35.65
8/04/1994,C,16,33.92,130,32.29,23.19,35.68
8/04/1994,D,33,104.99,250,13.26,17.56,34.82
8/04/1994,D,33,68.09,250,21.92,22.13,35.40
8/04/1994,D,33,35.31,250,673.90,23.24,35.66
8/04/1994,E,40,113.09,600,19.45,18.53,34.94
8/04/1994,E,40,73.06,600,28.59,22.11,35.42
8/04/1994,E,40,28.65,600,36.95,23.24,35.64
Jandaya1,A,3,45.01,67,164.67,21.21,35.79
Jandaya1,A,3,35.21,67,31.51,22.39,36.16
Jandaya1,A,3,24.83,67,149.11,23.10,36.25
Jandaya1,B,7,67.80,83,80.59,18.64,35.94
Jandaya1,B,7,52.50,83,44.02,20.16,35.81
Jandaya1,B,7,29.83,83,120.59,22.97,36.21
Jandaya1,C,16,103.15,130,42.24,17.21,35.68
Jandaya1,C,16,59.00,130,11.74,18.91,35.86
Jandaya1,C,16,30.69,130,96.56,20.97,35.80
Jandaya1,D,33,100.93,250,18.25,18.17,35.94
Jandaya1,D,33,52.11,250,86.14,20.75,35.97
Jandaya1,D,33,27.58,250,89.44,23.43,36.39
Jandaya1,E,40,100.73,600,30.85,19.37,35.97
Jandaya1,E,40,62.26,600,45.62,21.85,36.06
Jandaya1,E,40,26.98,600,114.01,23.58,36.36
