"Longitude","Latitude","Date","Location","Day","Month","Year","sst_1d"
154.1008,-28.63165,2004-01-01,"CapeByron_East",1,1,2004,25.5799999237061
154.1008,-28.63165,2004-01-02,"CapeByron_East",2,1,2004,NA
154.1008,-28.63165,2004-01-03,"CapeByron_East",3,1,2004,25.1700000762939
154.1008,-28.63165,2004-01-04,"CapeByron_East",4,1,2004,NA
154.1008,-28.63165,2004-01-05,"CapeByron_East",5,1,2004,25.7000007629395
154.1008,-28.63165,2004-01-06,"CapeByron_East",6,1,2004,NA
154.1008,-28.63165,2004-01-07,"CapeByron_East",7,1,2004,NA
154.1008,-28.63165,2004-01-08,"CapeByron_East",8,1,2004,NA
154.1008,-28.63165,2004-01-09,"CapeByron_East",9,1,2004,NA
154.1008,-28.63165,2004-01-10,"CapeByron_East",10,1,2004,NA
154.1008,-28.63165,2004-01-11,"CapeByron_East",11,1,2004,NA
154.1008,-28.63165,2004-01-12,"CapeByron_East",12,1,2004,27.5400009155273
154.1008,-28.63165,2004-01-13,"CapeByron_East",13,1,2004,NA
154.1008,-28.63165,2004-01-14,"CapeByron_East",14,1,2004,NA
154.1008,-28.63165,2004-01-15,"CapeByron_East",15,1,2004,NA
154.1008,-28.63165,2004-01-16,"CapeByron_East",16,1,2004,NA
154.1008,-28.63165,2004-01-17,"CapeByron_East",17,1,2004,NA
154.1008,-28.63165,2004-01-18,"CapeByron_East",18,1,2004,NA
154.1008,-28.63165,2004-01-19,"CapeByron_East",19,1,2004,NA
154.1008,-28.63165,2004-01-20,"CapeByron_East",20,1,2004,NA
154.1008,-28.63165,2004-01-21,"CapeByron_East",21,1,2004,27.0200004577637
154.1008,-28.63165,2004-01-22,"CapeByron_East",22,1,2004,NA
154.1008,-28.63165,2004-01-23,"CapeByron_East",23,1,2004,NA
154.1008,-28.63165,2004-01-24,"CapeByron_East",24,1,2004,NA
154.1008,-28.63165,2004-01-25,"CapeByron_East",25,1,2004,NA
154.1008,-28.63165,2004-01-26,"CapeByron_East",26,1,2004,28.8700008392334
154.1008,-28.63165,2004-01-27,"CapeByron_East",27,1,2004,NA
154.1008,-28.63165,2004-01-28,"CapeByron_East",28,1,2004,28.3299999237061
154.1008,-28.63165,2004-01-29,"CapeByron_East",29,1,2004,NA
154.1008,-28.63165,2004-01-30,"CapeByron_East",30,1,2004,NA
154.1008,-28.63165,2004-01-31,"CapeByron_East",31,1,2004,27.75
154.1008,-28.63165,2004-02-01,"CapeByron_East",1,2,2004,27.7950000762939
154.1008,-28.63165,2004-02-02,"CapeByron_East",2,2,2004,NA
154.1008,-28.63165,2004-02-03,"CapeByron_East",3,2,2004,NA
154.1008,-28.63165,2004-02-04,"CapeByron_East",4,2,2004,NA
154.1008,-28.63165,2004-02-05,"CapeByron_East",5,2,2004,NA
154.1008,-28.63165,2004-02-06,"CapeByron_East",6,2,2004,27.0149993896484
154.1008,-28.63165,2004-02-07,"CapeByron_East",7,2,2004,NA
154.1008,-28.63165,2004-02-08,"CapeByron_East",8,2,2004,NA
154.1008,-28.63165,2004-02-09,"CapeByron_East",9,2,2004,28.1599998474121
154.1008,-28.63165,2004-02-10,"CapeByron_East",10,2,2004,28.4950008392334
154.1008,-28.63165,2004-02-11,"CapeByron_East",11,2,2004,28.1499996185303
154.1008,-28.63165,2004-02-12,"CapeByron_East",12,2,2004,28.2900009155273
154.1008,-28.63165,2004-02-13,"CapeByron_East",13,2,2004,28.1000003814697
154.1008,-28.63165,2004-02-14,"CapeByron_East",14,2,2004,NA
154.1008,-28.63165,2004-02-15,"CapeByron_East",15,2,2004,NA
154.1008,-28.63165,2004-02-16,"CapeByron_East",16,2,2004,NA
154.1008,-28.63165,2004-02-17,"CapeByron_East",17,2,2004,NA
154.1008,-28.63165,2004-02-18,"CapeByron_East",18,2,2004,27.1100006103516
154.1008,-28.63165,2004-02-19,"CapeByron_East",19,2,2004,27.3799991607666
154.1008,-28.63165,2004-02-20,"CapeByron_East",20,2,2004,29.0699996948242
154.1008,-28.63165,2004-02-21,"CapeByron_East",21,2,2004,NA
154.1008,-28.63165,2004-02-22,"CapeByron_East",22,2,2004,NA
154.1008,-28.63165,2004-02-23,"CapeByron_East",23,2,2004,NA
154.1008,-28.63165,2004-02-24,"CapeByron_East",24,2,2004,NA
154.1008,-28.63165,2004-02-25,"CapeByron_East",25,2,2004,NA
154.1008,-28.63165,2004-02-26,"CapeByron_East",26,2,2004,NA
154.1008,-28.63165,2004-02-27,"CapeByron_East",27,2,2004,25.5550003051758
154.1008,-28.63165,2004-02-28,"CapeByron_East",28,2,2004,25.4950008392334
154.1008,-28.63165,2004-02-29,"CapeByron_East",29,2,2004,NA
154.1008,-28.63165,2004-03-01,"CapeByron_East",1,3,2004,NA
