"Longitude","Latitude","Date","Location","Day","Month","Year","sst_1d"
153.794,-28.632,2004-01-01,"CapeByron_West",1,1,2004,NA
153.794,-28.632,2004-01-02,"CapeByron_West",2,1,2004,NA
153.794,-28.632,2004-01-03,"CapeByron_West",3,1,2004,NA
153.794,-28.632,2004-01-04,"CapeByron_West",4,1,2004,NA
153.794,-28.632,2004-01-05,"CapeByron_West",5,1,2004,25.4750003814697
153.794,-28.632,2004-01-06,"CapeByron_West",6,1,2004,25.1200008392334
153.794,-28.632,2004-01-07,"CapeByron_West",7,1,2004,NA
153.794,-28.632,2004-01-08,"CapeByron_West",8,1,2004,NA
153.794,-28.632,2004-01-09,"CapeByron_West",9,1,2004,NA
153.794,-28.632,2004-01-10,"CapeByron_West",10,1,2004,NA
153.794,-28.632,2004-01-11,"CapeByron_West",11,1,2004,NA
153.794,-28.632,2004-01-12,"CapeByron_West",12,1,2004,27.0049991607666
153.794,-28.632,2004-01-13,"CapeByron_West",13,1,2004,NA
153.794,-28.632,2004-01-14,"CapeByron_West",14,1,2004,NA
153.794,-28.632,2004-01-15,"CapeByron_West",15,1,2004,NA
153.794,-28.632,2004-01-16,"CapeByron_West",16,1,2004,NA
153.794,-28.632,2004-01-17,"CapeByron_West",17,1,2004,NA
153.794,-28.632,2004-01-18,"CapeByron_West",18,1,2004,NA
153.794,-28.632,2004-01-19,"CapeByron_West",19,1,2004,NA
153.794,-28.632,2004-01-20,"CapeByron_West",20,1,2004,NA
153.794,-28.632,2004-01-21,"CapeByron_West",21,1,2004,NA
153.794,-28.632,2004-01-22,"CapeByron_West",22,1,2004,26.0499992370605
153.794,-28.632,2004-01-23,"CapeByron_West",23,1,2004,NA
153.794,-28.632,2004-01-24,"CapeByron_West",24,1,2004,NA
153.794,-28.632,2004-01-25,"CapeByron_West",25,1,2004,NA
153.794,-28.632,2004-01-26,"CapeByron_West",26,1,2004,26.2900009155273
153.794,-28.632,2004-01-27,"CapeByron_West",27,1,2004,NA
153.794,-28.632,2004-01-28,"CapeByron_West",28,1,2004,26.8150005340576
153.794,-28.632,2004-01-29,"CapeByron_West",29,1,2004,NA
153.794,-28.632,2004-01-30,"CapeByron_West",30,1,2004,NA
153.794,-28.632,2004-01-31,"CapeByron_West",31,1,2004,25.1650009155273
153.794,-28.632,2004-02-01,"CapeByron_West",1,2,2004,NA
