"Longitude","Latitude","Date","Location","Day","Month","Year","sst_1d"
154.2076,-31.64973,2004-01-01,"DiamondHead_East",1,1,2004,25.3982000732422
154.2076,-31.64973,2004-01-02,"DiamondHead_East",2,1,2004,24.9307998657227
154.2076,-31.64973,2004-01-03,"DiamondHead_East",3,1,2004,24.1569998168945
154.2076,-31.64973,2004-01-04,"DiamondHead_East",4,1,2004,NA
154.2076,-31.64973,2004-01-05,"DiamondHead_East",5,1,2004,25.0891999816895
154.2076,-31.64973,2004-01-06,"DiamondHead_East",6,1,2004,NA
154.2076,-31.64973,2004-01-07,"DiamondHead_East",7,1,2004,NA
154.2076,-31.64973,2004-01-08,"DiamondHead_East",8,1,2004,NA
154.2076,-31.64973,2004-01-09,"DiamondHead_East",9,1,2004,24.4133329391479
154.2076,-31.64973,2004-01-10,"DiamondHead_East",10,1,2004,NA
154.2076,-31.64973,2004-01-11,"DiamondHead_East",11,1,2004,NA
154.2076,-31.64973,2004-01-12,"DiamondHead_East",12,1,2004,NA
154.2076,-31.64973,2004-01-13,"DiamondHead_East",13,1,2004,NA
154.2076,-31.64973,2004-01-14,"DiamondHead_East",14,1,2004,NA
154.2076,-31.64973,2004-01-15,"DiamondHead_East",15,1,2004,NA
154.2076,-31.64973,2004-01-16,"DiamondHead_East",16,1,2004,NA
154.2076,-31.64973,2004-01-17,"DiamondHead_East",17,1,2004,24.4396001434326
154.2076,-31.64973,2004-01-18,"DiamondHead_East",18,1,2004,NA
154.2076,-31.64973,2004-01-19,"DiamondHead_East",19,1,2004,25.4109998321533
154.2076,-31.64973,2004-01-20,"DiamondHead_East",20,1,2004,NA
154.2076,-31.64973,2004-01-21,"DiamondHead_East",21,1,2004,NA
154.2076,-31.64973,2004-01-22,"DiamondHead_East",22,1,2004,NA
154.2076,-31.64973,2004-01-23,"DiamondHead_East",23,1,2004,NA
154.2076,-31.64973,2004-01-24,"DiamondHead_East",24,1,2004,24.8671999359131
154.2076,-31.64973,2004-01-25,"DiamondHead_East",25,1,2004,NA
154.2076,-31.64973,2004-01-26,"DiamondHead_East",26,1,2004,25.7195999145508
154.2076,-31.64973,2004-01-27,"DiamondHead_East",27,1,2004,29.1450004577637
154.2076,-31.64973,2004-01-28,"DiamondHead_East",28,1,2004,25.4243997955322
154.2076,-31.64973,2004-01-29,"DiamondHead_East",29,1,2004,NA
154.2076,-31.64973,2004-01-30,"DiamondHead_East",30,1,2004,NA
154.2076,-31.64973,2004-01-31,"DiamondHead_East",31,1,2004,26.1740000915527
154.2076,-31.64973,2004-02-01,"DiamondHead_East",1,2,2004,NA
154.2076,-31.64973,2004-02-02,"DiamondHead_East",2,2,2004,NA
154.2076,-31.64973,2004-02-03,"DiamondHead_East",3,2,2004,24.2800006866455
154.2076,-31.64973,2004-02-04,"DiamondHead_East",4,2,2004,25.9935292636647
154.2076,-31.64973,2004-02-05,"DiamondHead_East",5,2,2004,NA
154.2076,-31.64973,2004-02-06,"DiamondHead_East",6,2,2004,27.5389998626709
154.2076,-31.64973,2004-02-07,"DiamondHead_East",7,2,2004,27.0458003234863
154.2076,-31.64973,2004-02-08,"DiamondHead_East",8,2,2004,NA
154.2076,-31.64973,2004-02-09,"DiamondHead_East",9,2,2004,25.1574001312256
154.2076,-31.64973,2004-02-10,"DiamondHead_East",10,2,2004,25.8009998321533
154.2076,-31.64973,2004-02-11,"DiamondHead_East",11,2,2004,23.1756002044678
154.2076,-31.64973,2004-02-12,"DiamondHead_East",12,2,2004,25.6344000244141
154.2076,-31.64973,2004-02-13,"DiamondHead_East",13,2,2004,25.7102000427246
154.2076,-31.64973,2004-02-14,"DiamondHead_East",14,2,2004,NA
154.2076,-31.64973,2004-02-15,"DiamondHead_East",15,2,2004,NA
154.2076,-31.64973,2004-02-16,"DiamondHead_East",16,2,2004,24.3789582252502
154.2076,-31.64973,2004-02-17,"DiamondHead_East",17,2,2004,NA
154.2076,-31.64973,2004-02-18,"DiamondHead_East",18,2,2004,NA
154.2076,-31.64973,2004-02-19,"DiamondHead_East",19,2,2004,25.6669998931885
154.2076,-31.64973,2004-02-20,"DiamondHead_East",20,2,2004,27.167646856869
154.2076,-31.64973,2004-02-21,"DiamondHead_East",21,2,2004,NA
154.2076,-31.64973,2004-02-22,"DiamondHead_East",22,2,2004,NA
154.2076,-31.64973,2004-02-23,"DiamondHead_East",23,2,2004,NA
154.2076,-31.64973,2004-02-24,"DiamondHead_East",24,2,2004,NA
154.2076,-31.64973,2004-02-25,"DiamondHead_East",25,2,2004,NA
154.2076,-31.64973,2004-02-26,"DiamondHead_East",26,2,2004,NA
154.2076,-31.64973,2004-02-27,"DiamondHead_East",27,2,2004,24.1700000762939
154.2076,-31.64973,2004-02-28,"DiamondHead_East",28,2,2004,24.0715789794922
154.2076,-31.64973,2004-02-29,"DiamondHead_East",29,2,2004,NA
154.2076,-31.64973,2004-03-01,"DiamondHead_East",1,3,2004,NA
154.2076,-31.64973,2004-03-02,"DiamondHead_East",2,3,2004,NA
154.2076,-31.64973,2004-03-03,"DiamondHead_East",3,3,2004,NA
154.2076,-31.64973,2004-03-04,"DiamondHead_East",4,3,2004,NA
154.2076,-31.64973,2004-03-05,"DiamondHead_East",5,3,2004,NA
154.2076,-31.64973,2004-03-06,"DiamondHead_East",6,3,2004,NA
154.2076,-31.64973,2004-03-07,"DiamondHead_East",7,3,2004,NA
154.2076,-31.64973,2004-03-08,"DiamondHead_East",8,3,2004,NA
154.2076,-31.64973,2004-03-09,"DiamondHead_East",9,3,2004,25.0121999359131
154.2076,-31.64973,2004-03-10,"DiamondHead_East",10,3,2004,NA
154.2076,-31.64973,2004-03-11,"DiamondHead_East",11,3,2004,NA
154.2076,-31.64973,2004-03-12,"DiamondHead_East",12,3,2004,NA
154.2076,-31.64973,2004-03-13,"DiamondHead_East",13,3,2004,NA
154.2076,-31.64973,2004-03-14,"DiamondHead_East",14,3,2004,NA
154.2076,-31.64973,2004-03-15,"DiamondHead_East",15,3,2004,NA
154.2076,-31.64973,2004-03-16,"DiamondHead_East",16,3,2004,25.5926312898335
154.2076,-31.64973,2004-03-17,"DiamondHead_East",17,3,2004,NA
