"Longitude","Latitude","Date","Location","Day","Month","Year","sst_1d"
153.8702,-31.65,2004-01-01,"DiamondHead_West",1,1,2004,25.5267999267578
153.8702,-31.65,2004-01-02,"DiamondHead_West",2,1,2004,25.2712000274658
153.8702,-31.65,2004-01-03,"DiamondHead_West",3,1,2004,24.2428000640869
153.8702,-31.65,2004-01-04,"DiamondHead_West",4,1,2004,NA
153.8702,-31.65,2004-01-05,"DiamondHead_West",5,1,2004,25.3896874189377
153.8702,-31.65,2004-01-06,"DiamondHead_West",6,1,2004,NA
153.8702,-31.65,2004-01-07,"DiamondHead_West",7,1,2004,25.8099994659424
153.8702,-31.65,2004-01-08,"DiamondHead_West",8,1,2004,NA
153.8702,-31.65,2004-01-09,"DiamondHead_West",9,1,2004,24.7536113527086
153.8702,-31.65,2004-01-10,"DiamondHead_West",10,1,2004,NA
153.8702,-31.65,2004-01-11,"DiamondHead_West",11,1,2004,NA
153.8702,-31.65,2004-01-12,"DiamondHead_West",12,1,2004,NA
153.8702,-31.65,2004-01-13,"DiamondHead_West",13,1,2004,NA
153.8702,-31.65,2004-01-14,"DiamondHead_West",14,1,2004,NA
153.8702,-31.65,2004-01-15,"DiamondHead_West",15,1,2004,NA
153.8702,-31.65,2004-01-16,"DiamondHead_West",16,1,2004,NA
153.8702,-31.65,2004-01-17,"DiamondHead_West",17,1,2004,23.4662001800537
153.8702,-31.65,2004-01-18,"DiamondHead_West",18,1,2004,24.6266670227051
153.8702,-31.65,2004-01-19,"DiamondHead_West",19,1,2004,25.3420000457764
153.8702,-31.65,2004-01-20,"DiamondHead_West",20,1,2004,NA
153.8702,-31.65,2004-01-21,"DiamondHead_West",21,1,2004,NA
153.8702,-31.65,2004-01-22,"DiamondHead_West",22,1,2004,NA
153.8702,-31.65,2004-01-23,"DiamondHead_West",23,1,2004,NA
153.8702,-31.65,2004-01-24,"DiamondHead_West",24,1,2004,24.7276002502441
153.8702,-31.65,2004-01-25,"DiamondHead_West",25,1,2004,NA
153.8702,-31.65,2004-01-26,"DiamondHead_West",26,1,2004,26.7631818597967
153.8702,-31.65,2004-01-27,"DiamondHead_West",27,1,2004,26.5606248378754
153.8702,-31.65,2004-01-28,"DiamondHead_West",28,1,2004,24.9604544206099
153.8702,-31.65,2004-01-29,"DiamondHead_West",29,1,2004,NA
