"U","V","Depth","OPC_site","Lat","Lon","StartUTC"
0.09,-0.81,16.8,"CB",-28.644,153.68,"11/09/2004 21:40"
0.1,-0.76,24.8,"CB",-28.644,153.68,"11/09/2004 21:40"
0.11,-0.74,32.8,"CB",-28.644,153.68,"11/09/2004 21:40"
0.1,-0.7,40.8,"CB",-28.644,153.68,"11/09/2004 21:40"
0.07,-0.84,16.8,"CB",-28.633,153.707,"11/09/2004 22:00"
0.09,-0.8,24.8,"CB",-28.633,153.707,"11/09/2004 22:00"
0.1,-0.75,32.8,"CB",-28.633,153.707,"11/09/2004 22:00"
0.09,-0.72,40.8,"CB",-28.633,153.707,"11/09/2004 22:00"
0.08,-0.68,48.8,"CB",-28.633,153.707,"11/09/2004 22:00"
0,-1.06,16.8,"CB",-28.635,153.758,"11/09/2004 22:20"
0.05,-1.02,24.8,"CB",-28.635,153.758,"11/09/2004 22:20"
0.04,-1,32.8,"CB",-28.635,153.758,"11/09/2004 22:20"
0.02,-1.01,40.8,"CB",-28.635,153.758,"11/09/2004 22:20"
-0.02,-0.97,48.8,"CB",-28.635,153.758,"11/09/2004 22:20"
-0.05,-0.92,56.8,"CB",-28.635,153.758,"11/09/2004 22:20"
-0.02,-0.9,64.8,"CB",-28.635,153.758,"11/09/2004 22:20"
-0.04,-1.31,16.8,"CB",-28.635,153.809,"11/09/2004 22:40"
-0.02,-1.32,24.8,"CB",-28.635,153.809,"11/09/2004 22:40"
-0.02,-1.32,32.8,"CB",-28.635,153.809,"11/09/2004 22:40"
-0.04,-1.33,40.8,"CB",-28.635,153.809,"11/09/2004 22:40"
-0.05,-1.34,48.8,"CB",-28.635,153.809,"11/09/2004 22:40"
-0.04,-1.33,56.8,"CB",-28.635,153.809,"11/09/2004 22:40"
-0.03,-1.33,64.8,"CB",-28.635,153.809,"11/09/2004 22:40"
0,-1.25,72.8,"CB",-28.635,153.809,"11/09/2004 22:40"
0.02,-1.2,80.8,"CB",-28.635,153.809,"11/09/2004 22:40"
0.03,-1.12,88.8,"CB",-28.635,153.809,"11/09/2004 22:40"
-0.03,-1.49,16.8,"CB",-28.635,153.86,"11/09/2004 23:00"
0.01,-1.47,24.8,"CB",-28.635,153.86,"11/09/2004 23:00"
0,-1.47,32.8,"CB",-28.635,153.86,"11/09/2004 23:00"
0.01,-1.47,40.8,"CB",-28.635,153.86,"11/09/2004 23:00"
0.01,-1.48,48.8,"CB",-28.635,153.86,"11/09/2004 23:00"
0,-1.48,56.8,"CB",-28.635,153.86,"11/09/2004 23:00"
-0.01,-1.5,64.8,"CB",-28.635,153.86,"11/09/2004 23:00"
-0.03,-1.5,72.8,"CB",-28.635,153.86,"11/09/2004 23:00"
-0.02,-1.48,80.8,"CB",-28.635,153.86,"11/09/2004 23:00"
-0.01,-1.4,88.8,"CB",-28.635,153.86,"11/09/2004 23:00"
0.02,-1.31,96.8,"CB",-28.635,153.86,"11/09/2004 23:00"
0,-1.21,104.8,"CB",-28.635,153.86,"11/09/2004 23:00"
0.01,-1.12,112.8,"CB",-28.635,153.86,"11/09/2004 23:00"
-0.01,-1.05,120.8,"CB",-28.635,153.86,"11/09/2004 23:00"
0.03,-0.98,128.8,"CB",-28.635,153.86,"11/09/2004 23:00"
0.03,-0.87,136.8,"CB",-28.635,153.86,"11/09/2004 23:00"
0,-0.73,144.8,"CB",-28.635,153.86,"11/09/2004 23:00"
-0.04,-0.64,152.8,"CB",-28.635,153.86,"11/09/2004 23:00"
0,-1.41,16.8,"CB",-28.635,153.911,"11/09/2004 23:20"
0.02,-1.4,24.8,"CB",-28.635,153.911,"11/09/2004 23:20"
0.01,-1.4,32.8,"CB",-28.635,153.911,"11/09/2004 23:20"
0.02,-1.41,40.8,"CB",-28.635,153.911,"11/09/2004 23:20"
0.02,-1.4,48.8,"CB",-28.635,153.911,"11/09/2004 23:20"
0,-1.41,56.8,"CB",-28.635,153.911,"11/09/2004 23:20"
0,-1.41,64.8,"CB",-28.635,153.911,"11/09/2004 23:20"
-0.03,-1.4,72.8,"CB",-28.635,153.911,"11/09/2004 23:20"
-0.07,-1.42,80.8,"CB",-28.635,153.911,"11/09/2004 23:20"
-0.13,-1.42,88.8,"CB",-28.635,153.911,"11/09/2004 23:20"
-0.14,-1.44,96.8,"CB",-28.635,153.911,"11/09/2004 23:20"
-0.12,-1.43,104.8,"CB",-28.635,153.911,"11/09/2004 23:20"
-0.11,-1.43,112.8,"CB",-28.635,153.911,"11/09/2004 23:20"
-0.07,-1.38,120.8,"CB",-28.635,153.911,"11/09/2004 23:20"
-0.05,-1.31,128.8,"CB",-28.635,153.911,"11/09/2004 23:20"
-0.03,-1.25,136.8,"CB",-28.635,153.911,"11/09/2004 23:20"
0,-1.16,144.8,"CB",-28.635,153.911,"11/09/2004 23:20"
0,-1.08,152.8,"CB",-28.635,153.911,"11/09/2004 23:20"
-0.01,-1.02,160.8,"CB",-28.635,153.911,"11/09/2004 23:20"
-0.02,-0.98,168.8,"CB",-28.635,153.911,"11/09/2004 23:20"
-0.01,-1.02,176.8,"CB",-28.635,153.911,"11/09/2004 23:20"
0.01,-1.02,184.8,"CB",-28.635,153.911,"11/09/2004 23:20"
-0.01,-1.06,192.8,"CB",-28.635,153.911,"11/09/2004 23:20"
-0.09,-1.2,200.8,"CB",-28.635,153.911,"11/09/2004 23:20"
-0.07,-1.19,208.8,"CB",-28.635,153.911,"11/09/2004 23:20"
-0.07,-1.17,216.8,"CB",-28.635,153.911,"11/09/2004 23:20"
0.05,-1.21,16.8,"CB",-28.633,153.962,"11/09/2004 23:40"
0.08,-1.2,24.8,"CB",-28.633,153.962,"11/09/2004 23:40"
0.07,-1.21,32.8,"CB",-28.633,153.962,"11/09/2004 23:40"
0.06,-1.21,40.8,"CB",-28.633,153.962,"11/09/2004 23:40"
0.04,-1.2,48.8,"CB",-28.633,153.962,"11/09/2004 23:40"
0.02,-1.22,56.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.01,-1.24,64.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.05,-1.25,72.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.09,-1.26,80.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.11,-1.29,88.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.13,-1.3,96.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.14,-1.31,104.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.15,-1.34,112.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.16,-1.37,120.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.14,-1.36,128.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.1,-1.32,136.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.07,-1.25,144.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.1,-1.2,152.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.16,-1.15,160.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.15,-1.14,168.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.13,-1.1,176.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.16,-1.08,184.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.12,-1.05,192.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.09,-1.06,200.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.09,-1.06,208.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.1,-1.05,216.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.11,-1.04,224.8,"CB",-28.633,153.962,"11/09/2004 23:40"
-0.09,-1.03,232.8,"CB",-28.633,153.962,"11/09/2004 23:40"
0.07,-1.06,16.8,"CB",-28.633,154.003,"12/09/2004 0:00"
