"TIME (UTC)","LONGITUDE (degrees_east)","LATITUDE (degrees_north)","start_time (days since 1985-01-01 00:00:00+00:00)","end_time (days since 1985-01-01 00:00:00+00:00)","GSLA (m)","GSL (m)","UCUR (m/s)","VCUR (m/s)","Transect"
2004-01-02,153.6,-30,6932.51525462966,6947.46533564816,-0.138556147284574,2.09955289701372,0.100407428318557,0.149542978346787,"NorthSolitary"
2004-01-04,153.6,-30,6934.75078703708,6949.49128472223,-0.145117726946729,2.09314391222743,0.128179695725818,0.0747714891733936,"NorthSolitary"
2004-01-06,153.6,-30,6936.5671527778,6951.44736111106,-0.161903163291777,2.07635847588238,0.0798071200769078,0.0474570063937253,"NorthSolitary"
2004-01-08,153.6,-30,6938.59310185187,6953.47331018513,-0.117192864663605,2.12106877451055,0.108647551615217,0.266888437886256,"NorthSolitary"
2004-01-10,153.6,-30,6940.54918981483,6955.42938657408,-0.0926250896494896,2.14563654952467,0.159461645277952,0.323501136831825,"NorthSolitary"
2004-01-12,153.6,-30,6942.50527777779,6957.45532407402,-0.12940045473273,2.10886118444143,0.142218424305312,0.209054979933774,"NorthSolitary"
2004-01-14,153.6,-30,6944.53121527773,6959.48126157408,-0.144812537195001,2.09344910197916,0.0788915508217234,0.0352494163245998,"NorthSolitary"
2004-01-16,153.6,-30,6946.55716435181,6961.43736111117,-0.119939572429158,2.118322066745,0.0242625852623869,-0.222178139258084,"NorthSolitary"
2004-01-18,153.6,-30,6948.7228240741,6963.46331018524,-0.15228968611234,2.08597195306182,0.037843529214289,-0.195931820609464,"NorthSolitary"
2004-01-20,153.6,-30,6950.5391782407,6965.48925925931,-0.149085193719195,2.08917644545496,0.0402850472281141,-0.193948087223231,"NorthSolitary"
2004-01-22,153.6,-30,6952.56512731477,6967.44534722227,-0.188149481940396,2.05011215723376,0.0354020112004639,-0.314192849404117,"NorthSolitary"
2004-01-24,153.6,-30,6954.52120370371,6969.47129629634,-0.18753910243694,2.05072253673722,0.0086979079242519,-0.183266445912746,"NorthSolitary"
2004-01-26,153.6,-30,6956.54714120366,6971.49724537041,-0.118871408298109,2.11939023087605,-0.0314345444279981,-0.0520348526696474,"NorthSolitary"
2004-01-28,153.6,-30,6958.50322916661,6973.46703703701,-0.101322997573741,2.13678604672455,-0.0408954267315704,0.0128179695725818,"NorthSolitary"
2004-01-30,153.6,-30,6960.73875000002,6975.40942129632,-0.125432987960264,2.11282865121389,-0.0720247814078403,-0.00732455404147529,"NorthSolitary"
2004-02-01,153.6,-30,6962.69484953699,6977.4353703704,-0.135504249767293,2.102604794531,-0.0877420536218394,-0.0759922481803061,"NorthSolitary"
2004-02-03,153.6,-30,6964.51121527783,6979.46131944447,-0.113683182518731,2.12457845665543,-0.0227366365037462,-0.0973555308012757,"NorthSolitary"
2004-02-05,153.6,-30,6966.5371643519,6981.48726851854,-0.0889628126287519,2.1492988265454,0.0338760624418232,0.0186165748554164,"NorthSolitary"
2004-02-07,153.6,-30,6968.56311342597,6983.4433564815,-0.0817908534631407,2.15647078571102,0.0506614987868707,-0.269940335403537,"NorthSolitary"
2004-02-09,153.6,-30,6970.51920138893,6985.46930555557,-0.106663818228984,2.13159782094517,0.0361649855797842,-0.274518181679459,"NorthSolitary"
2004-02-11,153.6,-30,6972.545150463,6987.49524305551,-0.0814856637114126,2.15677597546274,0.0231944211313384,-0.303358613217768,"NorthSolitary"
2004-02-13,153.6,-30,6974.50123842596,6989.45133101847,-0.0999496436909649,2.13815940060733,-0.0393694779729297,-0.389727312956831,"NorthSolitary"
2004-02-15,153.6,-30,6976.55103009264,6991.47728009254,-0.042268780614347,2.19584026368395,-0.264446919872431,-0.635710252849709,"NorthSolitary"
2004-02-17,153.6,-30,6978.50292824069,6993.25865740736,-0.0494407397799582,2.1888208993942,-0.299848931072895,-0.721468573085316,"NorthSolitary"
2004-02-19,153.6,-30,6980.53753472224,6995.48442129628,-0.106969007980712,2.13129263119344,-0.349442265728717,-0.782506523430943,"NorthSolitary"
2004-02-21,153.6,-30,6982.53517361113,6997.48527777777,-0.0987288846840523,2.1395327544901,-0.353562327377047,-0.7223841423405,"NorthSolitary"
2004-02-23,153.6,-30,6984.51940972218,6999.46630787035,-0.0366227702073764,2.20163886896678,-0.275433750934644,-0.551477881372743,"NorthSolitary"
2004-02-25,153.6,-30,6986.51721064816,7001.4673148148,0.0170906260967757,2.25535226527093,-0.156104558008942,-0.275586345810508,"NorthSolitary"
2004-02-27,153.6,-30,6988.50128472224,7003.493275463,0.0500511192834145,2.28816016358171,-0.147101460332962,-0.281995330596799,"NorthSolitary"
2004-02-29,153.6,-30,6990.56909722218,7004.99521990737,-0.0276196725313964,2.2104893717669,-0.228434529168511,-0.433827232081547,"NorthSolitary"
2004-03-02,153.6,-30,6992.52518518514,7007.40546296292,-0.0564601040697053,2.18180153510445,-0.26780400714144,-0.415973631605451,"NorthSolitary"
2004-03-04,153.6,-30,6994.55113425921,7009.18684027775,-0.0582912425800742,2.17997039659408,-0.278943433079517,-0.415973631605451,"NorthSolitary"
2004-03-06,153.6,-30,6996.50722222216,7011.38749999995,-0.095829582042635,2.14243205713152,-0.273755207300139,-0.548120794103734,"NorthSolitary"
2004-03-08,153.6,-30,6998.53318287036,7013.48331018514,-0.0761448430561702,2.16211679611799,-0.298628172065982,-0.606717226435536,"NorthSolitary"
2004-03-10,153.6,-30,7000.55913194444,7015.4393981481,-0.0343338470694154,2.20377519722888,-0.305647536355729,-0.583370210428334,"NorthSolitary"
2004-03-12,153.6,-30,7002.51523148152,7017.46534722217,0.00122075900691255,2.23948239818107,-0.312666900645476,-0.564906230448782,"NorthSolitary"
2004-03-14,153.6,-30,7004.54118055559,7019.49129629624,-0.00457784627592205,2.23368379289823,-0.310988357010972,-0.603512734042391,"NorthSolitary"
2004-03-16,153.6,-30,7006.56712962966,7021.44738425931,-0.00473044115178612,2.23353119802237,-0.310072787755787,-0.556360917400394,"NorthSolitary"
2004-03-18,153.6,-30,7008.59307870374,7023.47333333339,0.00152594875864068,2.2397875879328,-0.279096027955381,-0.611447667587322,"NorthSolitary"
2004-03-20,153.6,-30,7010.75876157405,7025.49927083333,0.00366227702073764,2.24192391619489,-0.273144827796683,-0.621518929394351,"NorthSolitary"
2004-03-22,153.6,-30,7012.50526620366,7027.45535879629,0.0419635908626188,2.28022523003678,-0.23591167808585,-0.582149451421421,"NorthSolitary"
2004-03-24,153.6,-30,7014.53121527773,7029.48130787036,0.0381487189660171,2.27641035814017,-0.276196725313964,-0.510582454641173,"NorthSolitary"
2004-03-26,153.6,-30,7016.55716435181,7031.4373842593,0.0276196725313964,2.26588131170555,-0.339981383425145,-0.641508858132544,"NorthSolitary"
2004-03-28,153.6,-30,7018.51325231476,7033.46333333338,0.0405902369798422,2.278851876154,-0.317549936673127,-0.610532098332138,"NorthSolitary"
2004-03-30,153.6,-30,7020.53920138883,7035.48927083332,0.0425739703660751,2.28083560954023,-0.263989135244838,-0.620298170387438,"NorthSolitary"
2004-04-01,153.6,-30,7022.56515046291,7037.44535879628,0.0416584011108907,2.27992004028505,-0.247966673279111,-0.642729617139456,"NorthSolitary"
2004-04-03,153.6,-30,7024.52122685185,7039.47129629634,0.0778233866906749,2.31608502586483,-0.211954282575191,-0.600613431400974,"NorthSolitary"
2004-04-05,153.6,-30,7026.54717592592,7041.49724537041,0.0694306685181512,2.30769230769231,-0.176552271374727,-0.505546823737659,"NorthSolitary"
2004-04-07,153.6,-30,7028.50326388888,7043.45333333337,0.086826484366655,2.32493552866495,-0.18677612805762,-0.489524361771932,"NorthSolitary"
2004-04-09,153.6,-30,7030.73878472217,7045.40942129632,0.0933880640288099,2.33164970320297,-0.166633604443563,-0.492423664413349,"NorthSolitary"
2004-04-11,153.6,-30,7032.55515046301,7047.4353703704,0.0704988326491996,2.30860787694749,-0.191201379457678,-0.539117696427754,"NorthSolitary"
2004-04-13,153.6,-30,7034.51122685184,7049.46131944447,0.0715669967802481,2.3098286359544,-0.189980620450765,-0.527367890986221,"NorthSolitary"
2004-04-15,153.6,-30,7036.53717592591,7051.48726851854,0.0660735812491417,2.3043352204233,-0.223246303389132,-0.471975951047564,"NorthSolitary"
2004-04-17,153.6,-30,7038.56311342597,7053.4433564815,0.0164802465933194,2.25474188576748,-0.224467062396045,-0.525536752475852,"NorthSolitary"
2004-04-19,153.6,-30,7040.51920138893,7055.46930555557,0.0502037141592785,2.28846535333343,-0.212869851830376,-0.43321685257809,"NorthSolitary"
2004-04-21,153.6,-30,7042.545150463,7057.49525462964,0.0787389559458593,2.31700059512002,-0.184639799795523,-0.335403537149223,"NorthSolitary"
2004-04-23,153.6,-30,7044.50123842596,7059.4513425926,0.0680573146353745,2.30631895380953,-0.1957792257336,-0.317397341797262,"NorthSolitary"
2004-04-25,153.6,-30,7046.52718750003,7061.47729166667,0.042268780614347,2.2805304197885,-0.200051882257794,-0.178993789388552,"NorthSolitary"
2004-04-27,153.6,-30,7048.5531365741,7063.25866898149,0.0473044115178612,2.28556605069202,-0.172737399478126,-0.113683182518731,"NorthSolitary"
2004-04-29,153.6,-30,7050.50922453706,7065.28461805556,0.0170906260967757,2.25519967039507,-0.141150260174263,-0.0648528222422291,"NorthSolitary"
2004-05-01,153.6,-30,7052.53517361113,7067.41541666666,-0.00640898478629088,2.231700059512,-0.127264126470633,-0.122686280194711,"NorthSolitary"
2004-05-03,153.6,-30,7054.63098379632,7069.05708333338,-0.00274670776555323,2.2355149314086,-0.106816413104848,-0.0984236949323242,"NorthSolitary"
2004-05-05,153.6,-30,7056.58707175928,7071.46732638893,0.0143439183312224,2.25260555750538,-0.0854531304838784,0.0848427509804221,"NorthSolitary"
2004-05-07,153.6,-30,7058.54315972223,7073.24871527776,0.00793493354493156,2.24619657271909,-0.0605801657180352,0.193642897471503,"NorthSolitary"
2004-05-09,153.6,-30,7060.70883101854,7075.44937499997,-0.0213632826209696,2.21689835655319,-0.0367753650832405,0.247966673279111,"NorthSolitary"
2004-05-11,153.6,-30,7062.52518518514,7077.40546296292,-0.0407428318557063,2.19751880731845,-0.0234996108830665,0.248271863030839,"NorthSolitary"
2004-05-13,153.6,-30,7064.55113425921,7079.18685185187,-0.0375383394625608,2.2007232997116,-0.0541711809317443,0.265667678879343,"NorthSolitary"
2004-05-15,153.6,-30,7066.64694444439,7081.06030092598,-0.0180061953519601,2.2202554438222,-0.0140387285794943,0.331283475500893,"NorthSolitary"
2004-05-17,153.6,-30,7068.53318287036,7083.48332175927,-0.0715669967802481,2.16669464239391,-0.0306715700486778,0.290998428272779,"NorthSolitary"
2004-05-19,153.6,-30,7070.55913194444,7085.43942129635,-0.0778233866906749,2.16043825248348,-0.0926250896494896,0.192116948712862,"NorthSolitary"
2004-05-21,153.6,-30,7072.51523148152,7087.46537037042,-0.0866738894907909,2.15158774968337,-0.0257885340210276,0.278638243327789,"NorthSolitary"
