"secs","depth","temp","distance","abund","sal","GeoMnESD","biomass","NBSS.Slope","lat","long","site","GA_depth","Norm.GeoMnESD","Norm.Biomass","Norm.abund"
10,5.77761648285886,19.349,521.4,8529.99943596279,35.6311666666667,0.000423677085390312,300.566062471903,-1.10228597894787,-28.6335,153.685666666667,"CapeByron",56,0.531855255130532,0.0209135796464034,0.372381018835999
30,5.25201082637605,19.354125,599.950018356375,7635.52374590344,35.631,0.000423702792046079,245.852390787053,-1.11277542765483,-28.633625,153.6865,"CapeByron",56,0.53188752550916,0.0171065672341646,0.333332274309237
50,5.92660912307489,19.3563333333333,671.2,8217.48403441329,35.63,0.000422646473390442,282.576442458013,-1.15327962046782,-28.6336666666667,153.687277777778,"CapeByron",56,0.530561495267105,0.0196618503331374,0.358738016335869
70,5.66173624295886,19.3568,731.3,6048.05475249734,35.63,0.000434025325437893,222.636049665845,-1.12288911701187,-28.6336666666667,153.688,"CapeByron",56,0.544845728395301,0.0154911593097192,0.264030590812889
90,5.46308199407715,19.3621666666667,819.799977871767,7192.25662233139,35.6301666666667,0.000423519062318408,227.754947565454,-1.13371608181065,-28.6336666666667,153.688888888889,"CapeByron",56,0.531656883766769,0.0158473355128636,0.313981245703497
110,5.39686467033338,19.367,903.6,7690.67455675224,35.63,0.000425618064676771,247.922484357242,-1.27984416296772,-28.6336666666667,153.689888888889,"CapeByron",56,0.534291827862927,0.0172506056741655,0.335739908130046
130,6.92815629125186,19.367875,990.4,5519.51680764152,35.63,0.000425358152390283,191.063523965079,-1.11735536433538,-28.6336666666667,153.690729166667,"CapeByron",57,0.533965551743192,0.0132943226959954,0.240957025582731
150,17.8785829002727,19.362,1052.29997938051,5180.07452815773,35.6298823529412,0.000416894466777642,169.993073568541,-1.19565048308432,-28.6336078431373,153.691480392157,"CapeByron",57,0.523340819308798,0.0118282272262356,0.226138517935793
170,33.7694108356177,19.308,1142.2,5321.62723934941,35.6301333333333,0.000417794980825067,168.352793233041,-1.05203493487789,-28.6335,153.692455555556,"CapeByron",57,0.524471263094779,0.0117140954671248,0.232318066153619
190,44.9667643229354,19.27975,1196.85001785346,6203.02178215984,35.63025,0.00042077225265628,197.033881485579,-1.08203354672178,-28.6335,153.6931875,"CapeByron",57,0.528208726658389,0.0137097440063576,0.27079574722643
210,42.9309346504452,19.280625,1301,5890.13584833444,35.63,0.00042372376929061,193.271877140404,-1.21497507935883,-28.633375,153.69425,"CapeByron",57,0.531913858908172,0.0134479813281101,0.257136568970669
230,27.313845867006,19.3659583333333,1365.7,7056.86825125405,35.6304583333333,0.000440042697451187,242.883361590202,-1.26108614929744,-28.6333333333333,153.695013888889,"CapeByron",57,0.552399525939951,0.0168999802759758,0.308070804567033
250,8.45703690459414,19.4024285714286,1458.5,7370.88478118629,35.6315,0.000440266979408746,250.218613539129,-1.24098713429701,-28.6332976190476,153.695892857143,"CapeByron",58,0.552681074180042,0.0174103718171854,0.321779339511891
270,9.43610495730401,19.4082142857143,1553.5,5093.52673813245,35.6321428571429,0.000421457926098621,137.414019231385,-1.21272058734543,-28.6331666666667,153.69680952381,"CapeByron",58,0.52906947423287,0.00956135570361216,0.222360234658102
290,23.3412091261933,19.4029285714286,1659.1,4861.91749745182,35.632,0.000425203680634442,135.896655336559,-1.34062342535652,-28.6331071428571,153.69775,"CapeByron",58,0.533771638458887,0.00945577654937887,0.212249227539759
310,37.7419234304491,19.3776,1745.7,3824.57377564124,35.6312,0.000421320289944336,119.891842197783,-1.33316255361695,-28.633,153.698633333333,"CapeByron",58,0.528896695212061,0.00834215137310035,0.166963513875775
330,47.7887637996139,19.3458333333333,1812.2,3355.01755747892,35.6301666666667,0.000414818160832257,118.201027262629,NA,-28.633,153.699305555556,"CapeByron",58,0.520734366738217,0.00822450338409307,0.146464822846222
350,41.7296476059207,19.3446923076923,1956.000017602,3975.44104256378,35.6293846153846,0.000413153164356602,112.771247089671,NA,-28.6328333333333,153.700602564103,"CapeByron",59,0.51864424396338,0.00784669579272457,0.173549693275595
370,23.8377361883291,19.374,2003.19995674958,8662.02279035031,35.6310434782609,0.000441855332257542,334.880930873538,-1.11650079406894,-28.6328333333333,153.701217391304,"CapeByron",59,0.554674983784229,0.0233012302263505,0.37814455863293
390,7.11550436755829,19.3886363636364,2082.8,7934.48599781096,35.6314545454545,0.000437848072794734,258.239424481759,-1.18477135123823,-28.6328333333333,153.702045454545,"CapeByron",59,0.54964454414645,0.0179684649934339,0.346383607875505
410,11.9192231407641,19.3959333333333,2176.95002187678,5507.14595169184,35.6319333333333,0.000428779637139275,222.702707795129,-1.13390319086187,-28.6326666666667,153.702977777778,"CapeByron",60,0.538260649842312,0.0154957974251618,0.240416970219657
430,26.8173327185337,19.3856,2281.6,4970.65441640699,35.6313333333333,0.00042997248877108,152.882043377782,-1.13976411609437,-28.6326666666667,153.703955555556,"CapeByron",60,0.539758074250766,0.010637630757082,0.216996187368958
450,41.2249078917676,19.3614285714286,2379.79997535719,4073.16670700112,35.6302142857143,0.000414816941098294,111.254225873777,-1.13790986344278,-28.6326666666667,153.704773809524,"CapeByron",60,0.520732835567568,0.00774114048231144,0.177815951762809
470,48.2290271937399,19.3626,2474.8499771174,3457.28673022083,35.63,0.000398779974919589,85.8997828456069,NA,-28.6326666666667,153.705733333333,"CapeByron",60,0.500601124336036,0.00597696205411844,0.150929430262324
490,36.2522065582332,19.3707,2544.6,6430.22694933297,35.63,0.000428696667497494,192.472690874873,-1.23458862068445,-28.6326666666666,153.706541666667,"CapeByron",60,0.538156495424905,0.0133923734345274,0.280714492505595
510,15.8921149782939,19.4023333333333,2636.25002187678,8666.06773083657,35.6315238095238,0.000456016844898442,315.600704614765,-1.27031709035612,-28.6326666666666,153.70746031746,"CapeByron",60,0.572452378829612,0.021959699701755,0.378321142356143
530,5.45479248527405,19.4224166666667,2742.00002212823,7980.94267919697,35.63275,0.000449153005522301,321.005944132371,-1.1670335738126,-28.6326666666667,153.708361111111,"CapeByron",60,0.563835984012769,0.0223357997385644,0.348411695506241
550,16.8930315490654,19.4142307692308,2813.1499771174,5729.66997983631,35.6324615384615,0.000424672497620134,221.340852185826,-1.39836245448246,-28.6326666666667,153.709192307692,"CapeByron",60,0.533104827608506,0.0154010386373006,0.250131358237851
570,17.4377471101597,19.42725,2921.84997309408,6527.7800220517,35.63246875,0.000448512010904002,218.423915027026,-1.20548981670134,-28.6326666666666,153.710171875,"CapeByron",60,0.563031323180242,0.0151980762765722,0.284973216422554
590,0.65557680949543,19.4498,2977.3,3652.90004052059,35.4717,0.000602522308985925,8751.26539348717,NA,-28.6326666666667,153.7108,"CapeByron",60,0.756365324955744,0.608918666027428,0.159469018609798
610,7.923300205101,19.794,3074.00002212823,7336.56494031843,35.6361538461538,0.000439312662284792,229.167891033601,-1.31920531559659,-28.6326666666667,153.711833333333,"CapeByron",60,0.551483089689169,0.0159456490267511,0.320281091193751
630,20.8505901736045,19.8114615384615,3155.59997787177,6868.43324200259,35.6393076923077,0.000435813059353554,213.914974277055,-1.2822482867119,-28.6326666666667,153.712628205128,"CapeByron",61,0.547089927363351,0.0148843412836063,0.299844588228308
650,33.769424252693,19.5951538461538,3227.95002237969,6601.48320340359,35.6362307692308,0.000435792721156798,233.23602370819,-1.13134617473057,-28.6326666666667,153.713371794872,"CapeByron",61,0.547064396181237,0.0162287123107508,0.288190762445777
670,47.1763360289473,19.5618571428571,3316.8,5942.85791447526,35.6357857142857,0.000423030737483144,217.275628925546,-1.00999812504845,-28.6326785714286,153.714226190476,"CapeByron",61,0.53104387414505,0.0151181777922168,0.259438174832668
