FID,STATION_NAME,LOCAL_TRIP_START_TIME,IMOS_SITE_CODE,NRS_TRIP_CODE,NRS_SAMPLE_CODE,UTC_TRIP_START_TIME,LATITUDE,LONGITUDE,MG_PER_M3,geom
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-720,North Stradbroke,29/09/2008 10:30,NRSNSI,NRSNSI20080929,NRSNSI20080929_ZOOBIOWC,2008-09-29T00:30:00Z,-27.345,153.562,13.0201,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-71f,North Stradbroke,30/10/2008 10:30,NRSNSI,NRSNSI20081030,NRSNSI20081030_ZOOBIOWC,2008-10-30T00:30:00Z,-27.345,153.562,12.3643,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-71e,North Stradbroke,19/11/2008 10:30,NRSNSI,NRSNSI20081119,NRSNSI20081119_ZOOBIOWC,2008-11-19T00:30:00Z,-27.345,153.562,7.2784,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-71d,North Stradbroke,17/12/2008 11:00,NRSNSI,NRSNSI20081217,NRSNSI20081217_ZOOBIOWC,2008-12-17T01:00:00Z,-27.345,153.562,32.9135,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-71c,North Stradbroke,14/01/2009 10:30,NRSNSI,NRSNSI20090114,NRSNSI20090114_ZOOBIOWC,2009-01-14T00:30:00Z,-27.345,153.562,18.8839,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-71b,North Stradbroke,18/02/2009 10:30,NRSNSI,NRSNSI20090218,NRSNSI20090218_ZOOBIOWC,2009-02-18T00:30:00Z,-27.345,153.562,16.2606,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-71a,North Stradbroke,18/03/2009 10:30,NRSNSI,NRSNSI20090318,NRSNSI20090318_ZOOBIOWC,2009-03-18T00:30:00Z,-27.345,153.562,10.9561,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-719,North Stradbroke,16/04/2009 10:30,NRSNSI,NRSNSI20090416,NRSNSI20090416_ZOOBIOWC,2009-04-16T00:30:00Z,-27.345,153.562,10.146,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-718,North Stradbroke,27/05/2009 12:03,NRSNSI,NRSNSI20090527,NRSNSI20090527_ZOOBIOWC,2009-05-27T02:03:00Z,-27.345,153.562,11.059,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-717,North Stradbroke,18/06/2009 13:30,NRSNSI,NRSNSI20090618,NRSNSI20090618_ZOOBIOWC,2009-06-18T03:30:00Z,-27.345,153.562,23.5454,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-716,North Stradbroke,20/07/2009 11:07,NRSNSI,NRSNSI20090720,NRSNSI20090720_ZOOBIOWC,2009-07-20T01:07:00Z,-27.345,153.562,45.985,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-715,North Stradbroke,20/08/2009 8:45,NRSNSI,NRSNSI20090819,NRSNSI20090819_ZOOBIOWC,2009-08-19T22:45:00Z,-27.345,153.562,52.6847,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-714,North Stradbroke,17/09/2009 8:30,NRSNSI,NRSNSI20090916,NRSNSI20090916_ZOOBIOWC,2009-09-16T22:30:00Z,-27.345,153.562,15.2255,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-713,North Stradbroke,7/10/2009 9:07,NRSNSI,NRSNSI20091006,NRSNSI20091006_ZOOBIOWC,2009-10-06T23:07:00Z,-27.345,153.562,38.4237,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-712,North Stradbroke,15/10/2009 10:10,NRSNSI,NRSNSI20091015,NRSNSI20091015_ZOOBIOWC,2009-10-15T00:10:00Z,-27.345,153.562,29.1457,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-711,North Stradbroke,22/10/2009 9:20,NRSNSI,NRSNSI20091021,NRSNSI20091021_ZOOBIOWC,2009-10-21T23:20:00Z,-27.345,153.562,19.1025,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-710,North Stradbroke,2/11/2009 9:02,NRSNSI,NRSNSI20091101,NRSNSI20091101_ZOOBIOWC,2009-11-01T23:02:00Z,-27.345,153.562,15.2255,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-70f,North Stradbroke,16/11/2009 8:20,NRSNSI,NRSNSI20091115,NRSNSI20091115_ZOOBIOWC,2009-11-15T22:20:00Z,-27.345,153.562,31.3189,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-70e,North Stradbroke,16/12/2009 9:00,NRSNSI,NRSNSI20091215,NRSNSI20091215_ZOOBIOWC,2009-12-15T23:00:00Z,-27.345,153.562,25.5836,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-70d,North Stradbroke,22/01/2010 9:50,NRSNSI,NRSNSI20100121,NRSNSI20100121_ZOOBIOWC,2010-01-21T23:50:00Z,-27.345,153.562,33.6465,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-70c,North Stradbroke,15/02/2010 9:30,NRSNSI,NRSNSI20100214,NRSNSI20100214_ZOOBIOWC,2010-02-14T23:30:00Z,-27.345,153.562,38.3787,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-70b,North Stradbroke,23/03/2010 9:15,NRSNSI,NRSNSI20100322,NRSNSI20100322_ZOOBIOWC,2010-03-22T23:15:00Z,-27.345,153.562,41.8893,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-70a,North Stradbroke,12/04/2010 8:35,NRSNSI,NRSNSI20100411,NRSNSI20100411_ZOOBIOWC,2010-04-11T22:35:00Z,-27.345,153.562,17.1544,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-709,North Stradbroke,21/05/2010 8:21,NRSNSI,NRSNSI20100520,NRSNSI20100520_ZOOBIOWC,2010-05-20T22:21:00Z,-27.345,153.562,15.907,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-708,North Stradbroke,18/06/2010 12:30,NRSNSI,NRSNSI20100618,NRSNSI20100618_ZOOBIOWC,2010-06-18T02:30:00Z,-27.345,153.562,21.7387,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-707,North Stradbroke,12/07/2010 8:45,NRSNSI,NRSNSI20100711,NRSNSI20100711_ZOOBIOWC,2010-07-11T22:45:00Z,-27.345,153.562,18.4146,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-706,North Stradbroke,18/08/2010 8:25,NRSNSI,NRSNSI20100817,NRSNSI20100817_ZOOBIOWC,2010-08-17T22:25:00Z,-27.345,153.562,17.7652,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-705,North Stradbroke,16/09/2010 12:45,NRSNSI,NRSNSI20100916,NRSNSI20100916_ZOOBIOWC,2010-09-16T02:45:00Z,-27.345,153.562,13.5023,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-704,North Stradbroke,18/10/2010 10:00,NRSNSI,NRSNSI20101018,NRSNSI20101018_ZOOBIOWC,2010-10-18T00:00:00Z,-27.345,153.562,25.1464,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-703,North Stradbroke,16/11/2010 9:30,NRSNSI,NRSNSI20101115,NRSNSI20101115_ZOOBIOWC,2010-11-15T23:30:00Z,-27.345,153.562,32.592,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-702,North Stradbroke,16/12/2010 8:30,NRSNSI,NRSNSI20101215,NRSNSI20101215_ZOOBIOWC,2010-12-15T22:30:00Z,-27.345,153.562,12.0042,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-701,North Stradbroke,19/01/2011 10:00,NRSNSI,NRSNSI20110119,NRSNSI20110119_ZOOBIOWC,2011-01-19T00:00:00Z,-27.345,153.562,13.663,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-700,North Stradbroke,21/02/2011 9:40,NRSNSI,NRSNSI20110220,NRSNSI20110220_ZOOBIOWC,2011-02-20T23:40:00Z,-27.345,153.562,7.1305,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6ff,North Stradbroke,23/03/2011 10:20,NRSNSI,NRSNSI20110323,NRSNSI20110323_ZOOBIOWC,2011-03-23T00:20:00Z,-27.345,153.562,6.1789,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6fe,North Stradbroke,13/04/2011 9:25,NRSNSI,NRSNSI20110412,NRSNSI20110412_ZOOBIOWC,2011-04-12T23:25:00Z,-27.345,153.562,9.8374,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6fd,North Stradbroke,6/06/2011 10:00,NRSNSI,NRSNSI20110606,NRSNSI20110606_ZOOBIOWC,2011-06-06T00:00:00Z,-27.345,153.562,5.5809,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6fc,North Stradbroke,23/06/2011 10:25,NRSNSI,NRSNSI20110623,NRSNSI20110623_ZOOBIOWC,2011-06-23T00:25:00Z,-27.345,153.562,6.539,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6fb,North Stradbroke,28/07/2011 9:30,NRSNSI,NRSNSI20110727,NRSNSI20110727_ZOOBIOWC,2011-07-27T23:30:00Z,-27.345,153.562,6.3525,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6fa,North Stradbroke,16/08/2011 10:00,NRSNSI,NRSNSI20110816,NRSNSI20110816_ZOOBIOWC,2011-08-16T00:00:00Z,-27.345,153.562,16.5371,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6f9,North Stradbroke,15/09/2011 11:10,NRSNSI,NRSNSI20110915,NRSNSI20110915_ZOOBIOWC,2011-09-15T01:10:00Z,-27.345,153.562,9.2909,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6f8,North Stradbroke,13/10/2011 10:30,NRSNSI,NRSNSI20111013,NRSNSI20111013_ZOOBIOWC,2011-10-13T00:30:00Z,-27.345,153.562,10.0882,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6f7,North Stradbroke,16/11/2011 10:00,NRSNSI,NRSNSI20111116,NRSNSI20111116_ZOOBIOWC,2011-11-16T00:00:00Z,-27.345,153.562,17.0901,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6f6,North Stradbroke,21/12/2011 9:15,NRSNSI,NRSNSI20111220,NRSNSI20111220_ZOOBIOWC,2011-12-20T23:15:00Z,-27.345,153.562,6.1082,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6f5,North Stradbroke,14/02/2012 8:00,NRSNSI,NRSNSI20120213,NRSNSI20120213_ZOOBIOWC,2012-02-13T22:00:00Z,-27.345,153.562,6.7511,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6f4,North Stradbroke,1/03/2012 9:45,NRSNSI,NRSNSI20120229,NRSNSI20120229_ZOOBIOWC,2012-02-29T23:45:00Z,-27.345,153.562,9.0915,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6f3,North Stradbroke,11/05/2012 10:05,NRSNSI,NRSNSI20120511,NRSNSI20120511_ZOOBIOWC,2012-05-11T00:05:00Z,-27.345,153.562,12.2164,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6f2,North Stradbroke,20/06/2012 10:20,NRSNSI,NRSNSI20120620,NRSNSI20120620_ZOOBIOWC,2012-06-20T00:20:00Z,-27.345,153.562,7.7156,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6f1,North Stradbroke,6/08/2012 10:15,NRSNSI,NRSNSI20120806,NRSNSI20120806_ZOOBIOWC,2012-08-06T00:15:00Z,-27.345,153.562,7.4134,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6f0,North Stradbroke,21/08/2012 10:15,NRSNSI,NRSNSI20120821,NRSNSI20120821_ZOOBIOWC,2012-08-21T00:15:00Z,-27.345,153.562,14.0038,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6ef,North Stradbroke,12/09/2012 10:20,NRSNSI,NRSNSI20120912,NRSNSI20120912_ZOOBIOWC,2012-09-12T00:20:00Z,-27.345,153.562,19.019,POINT (153.562 -27.345)
anmn_nrs_bgc_plankton_biomass_data.fid--65a59387_1714ce25319_-6ee,North Stradbroke,17/10/2012 10:20,NRSNSI,NRSNSI20121017,NRSNSI20121017_ZOOBIOWC,2012-10-17T00:20:00Z,-27.345,153.562,21.7194,POINT (153.562 -27.345)
