Station,RP,NBN,Depth,Sal_Bot,Oxy_Bot,Nut_Tube,Salinity,Oxygen,Silicate,Nitrate,Phosphate,CTD depth,CTD Sal,Sctd_Shydro,CTD Temp,Latitude,Longitude,Date_Time,Date,Time
1,24,1004,1014.6,G08,,,34.46889,,,,,1014.6,34.43,-0.03889,4.905,33:38.73S,152:22.92E,2/09/2004 9:34,9/02/2004,9:34:00
1,23,5017,1015.1,G07,,,34.46908,,,,,1015.1,34.43,-0.03908,4.905,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:58
1,22,1014,1014.6,G06,,,34.46869,,,,,1014.6,34.43,-0.03869,4.905,33:38.73S,152:22.92E,2/09/2004 9:34,9/02/2004,9:34:00
1,21,5018,1013.7,G05,,,34.46889,,,,,1013.7,34.431,-0.03789,4.905,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:54
1,20,1009,1013.7,G04,,,34.46889,,,,,1013.7,34.431,-0.03789,4.905,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:54
1,19,5002,1014.7,G03,,,34.47007,,,,,1014.7,34.431,-0.03907,4.904,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:48
1,18,1008,1015.1,G02,,,34.46908,,,,,1015.1,34.43,-0.03908,4.905,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:58
1,17,5011,1014.4,G01,,,34.46889,,,,,1014.4,34.431,-0.03789,4.904,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:43
1,16,1001,1013.3,E12,,,,,,,,1013.3,34.431,,4.904,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:41
1,15,5008,1013.3,E11,,,34.46849,,,,,1013.3,34.431,-0.03749,4.904,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:41
1,14,1015,1014.3,E10,,,34.4683,,,,,1014.3,34.43,-0.0383,4.903,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:36
1,13,5007,1014.8,E09,,,34.46869,,,,,1014.8,34.431,-0.03769,4.901,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:34
1,12,1009,1014.2,E08,,,34.46849,,,,,1014.2,34.431,-0.03749,4.903,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:31
1,11,,1013.7,,,,,,,,,1013.7,34.431,,4.905,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:54
1,10,,1013.4,,,,,,,,,1013.4,34.431,,4.904,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:26
1,9,,1013.2,,,,,,,,,1013.2,34.431,,4.904,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:23
1,8,,1014,,,,,,,,,1014,34.43,,4.904,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:21
1,7,5020,1014.3,E07,,,34.46908,,,,,1014.3,34.43,-0.03908,4.903,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:36
1,6,1012,1013.5,E06,,,34.46889,,,,,1013.5,34.431,-0.03789,4.904,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:16
1,5,5005,1013,E05,,,,,,,,1013,34.431,,4.904,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:13
1,4,1024,1012.8,E04,,,34.46849,,,,,1012.8,34.431,-0.03749,4.905,33:38.73S,152:22.92E,2/09/2004 9:33,9/02/2004,9:33:02
1,3,5012,1012.4,E03,,,34.46889,,,,,1012.4,34.431,-0.03789,4.905,33:38.73S,152:22.92E,2/09/2004 9:32,9/02/2004,9:32:59
1,2,1019,1011.5,E02,,,34.46849,,,,,1011.5,34.431,-0.03749,4.907,33:38.73S,152:22.92E,2/09/2004 9:32,9/02/2004,9:32:19
1,1,5016,1012.9,E01,,,34.46889,,,,,1012.9,34.431,-0.03789,4.906,33:38.73S,152:22.92E,2/09/2004 9:32,9/02/2004,9:32:12
2,24,1004,14.2,,,,,,,,,14.2,35.615,,19.819,33:28.03S,153:00.22E,2/09/2004 21:18,9/02/2004,21:18:56
2,23,5017,14.1,E22,E22,210,35.65278,222.8062,0.466,0.814,0.129,14.1,35.614,-0.03878,19.832,33:28.03S,153:00.22E,2/09/2004 21:18,9/02/2004,21:18:38
2,22,1014,35,,,,,,,,,35,35.609,,19.39,33:28.03S,153:00.22E,2/09/2004 21:17,9/02/2004,21:17:07
2,21,5018,33.8,E21,E21,209,35.64567,216.3306,0.677,1.727,0.174,33.8,35.603,-0.04267,19.53,33:28.03S,153:00.22E,2/09/2004 21:16,9/02/2004,21:16:47
2,20,1009,61.6,,,,,,,,,61.6,35.64,,18.704,33:28.03S,153:00.22E,2/09/2004 21:15,9/02/2004,21:15:28
2,19,5002,61.6,E20,E20,208,35.67844,222.4936,0.743,2.213,0.206,61.6,35.64,-0.03844,18.704,33:28.03S,153:00.22E,2/09/2004 21:15,9/02/2004,21:15:28
2,18,1008,84.3,,,,,,,,,84.3,35.596,,17.857,33:28.03S,153:00.22E,2/09/2004 21:13,9/02/2004,21:13:52
2,17,5011,84,E19,E19,207,35.63995,206.9521,1.198,4.524,0.332,84,35.597,-0.04295,17.876,33:28.03S,153:00.22E,2/09/2004 21:13,9/02/2004,21:13:35
2,16,1001,110.2,,,,,,,,,110.2,35.51,,17.022,33:28.03S,153:00.22E,2/09/2004 21:12,9/02/2004,21:12:09
2,15,5008,109.8,E18,E18,206,35.54977,185.0243,1.731,6.76,0.483,109.8,35.511,-0.03877,17.033,33:28.03S,153:00.22E,2/09/2004 21:11,9/02/2004,21:11:49
2,14,1015,161,,,,,,,,,161,35.529,,16.333,33:28.03S,153:00.22E,2/09/2004 21:10,9/02/2004,21:10:00
2,13,5007,160.6,E17,E17,205,35.5622,216.6432,1.502,5.182,0.396,160.6,35.528,-0.0342,16.329,33:28.03S,153:00.22E,2/09/2004 21:09,9/02/2004,21:09:39
2,12,1009,210.3,,,,,,,,,210.3,35.538,,15.463,33:28.03S,153:00.22E,2/09/2004 21:07,9/02/2004,21:07:19
2,11,,211.1,,,,,,,,,211.1,35.538,,15.459,33:28.03S,153:00.22E,2/09/2004 21:07,9/02/2004,21:07:00
2,10,,211.3,,,,,,,,,211.3,35.537,,15.452,33:28.03S,153:00.22E,2/09/2004 21:06,9/02/2004,21:06:56
2,9,,210.7,,,,,,,,,210.7,35.538,,15.46,33:28.03S,153:00.22E,2/09/2004 21:06,9/02/2004,21:06:50
2,8,,211,,,,,,,,,211,35.536,,15.445,33:28.03S,153:00.22E,2/09/2004 21:06,9/02/2004,21:06:46
2,7,5020,210.2,E16,E16,204,35.57778,235.9808,1.473,4.754,0.356,210.2,35.538,-0.03978,15.464,33:28.03S,153:00.22E,2/09/2004 21:06,9/02/2004,21:06:17
2,6,1012,260.8,,,,,,,,,260.8,35.372,,14.365,33:28.03S,153:00.22E,2/09/2004 21:04,9/02/2004,21:04:21
2,5,5005,260.8,E15,E15,203,,222.1364,2.374,7.74,0.536,260.8,35.372,,14.365,33:28.03S,153:00.22E,2/09/2004 21:04,9/02/2004,21:04:21
2,4,1024,411.6,,,,,,,,,411.6,34.837,,10.567,33:28.03S,153:00.22E,2/09/2004 20:59,9/02/2004,20:59:54
2,3,5012,410.9,E14,E14,202,34.87762,209.6764,6.229,16.836,1.141,410.9,34.838,-0.03962,10.574,33:28.03S,153:00.22E,2/09/2004 20:59,9/02/2004,20:59:02
2,2,1019,514.6,,,,,,,,,514.6,34.658,,9.261,33:28.03S,153:00.22E,2/09/2004 20:55,9/02/2004,20:55:32
2,1,5016,513.9,E13,E13,201,34.70146,214.8569,7.253,19.308,1.288,513.9,34.662,-0.03946,9.301,33:28.03S,153:00.22E,2/09/2004 20:55,9/02/2004,20:55:14
3,24,1004,13.1,,,,,,,,,13.1,35.605,,19.667,33:30.45S,153:00.11E,2/09/2004 23:05,9/02/2004,23:05:25
3,23,5017,13.9,C22,F22,310,35.64449,223.1635,0.6,1.069,0.155,13.9,35.605,-0.03949,19.664,33:30.45S,153:00.11E,2/09/2004 23:05,9/02/2004,23:05:07
3,22,1014,34.7,,,,,,,,,34.7,35.609,,18.257,33:30.45S,153:00.11E,2/09/2004 23:03,9/02/2004,23:03:57
3,21,5018,34.6,C21,F21,309,35.64784,228.612,0.398,1.8,0.188,34.6,35.609,-0.03884,18.259,33:30.45S,153:00.11E,2/09/2004 23:03,9/02/2004,23:03:36
3,20,1009,58.7,,,,,,,,,58.7,35.605,,17.412,33:30.45S,153:00.11E,2/09/2004 23:02,9/02/2004,23:02:24
