"Date","Day","Month","Year","Transect","East","West","Offshore_Inshore"
2004-01-01,1,1,2004,"CapeByron",25.5799999237061,NA,NA
2004-01-01,1,1,2004,"DiamondHead",NA,NA,NA
2004-01-01,1,1,2004,"EvansHead",25.6849994659424,24.0349998474121,1.6499996185303
2004-01-01,1,1,2004,"NorthSolitary",NA,24.1749992370605,NA
2004-01-02,2,1,2004,"CapeByron",NA,NA,NA
2004-01-02,2,1,2004,"DiamondHead",26.1200008392334,21.6700000762939,4.4500007629395
2004-01-02,2,1,2004,"EvansHead",NA,NA,NA
2004-01-02,2,1,2004,"NorthSolitary",NA,24.2049999237061,NA
2004-01-03,3,1,2004,"CapeByron",25.1700000762939,NA,NA
2004-01-03,3,1,2004,"DiamondHead",25.5200004577637,22.0900001525879,3.4300003051758
2004-01-03,3,1,2004,"EvansHead",25.5849990844727,24.0300006866455,1.5549983978272
2004-01-03,3,1,2004,"NorthSolitary",NA,23.7649993896484,NA
2004-01-04,4,1,2004,"CapeByron",NA,NA,NA
2004-01-04,4,1,2004,"DiamondHead",NA,NA,NA
2004-01-04,4,1,2004,"EvansHead",NA,NA,NA
2004-01-04,4,1,2004,"NorthSolitary",NA,NA,NA
2004-01-05,5,1,2004,"CapeByron",25.7000007629395,25.4400005340576,0.2600002288819
2004-01-05,5,1,2004,"DiamondHead",NA,NA,NA
2004-01-05,5,1,2004,"EvansHead",25.7250003814697,24.0149993896484,1.7100009918213
2004-01-05,5,1,2004,"NorthSolitary",25.1749992370605,NA,NA
2004-01-06,6,1,2004,"CapeByron",NA,25.7150001525879,NA
2004-01-06,6,1,2004,"DiamondHead",NA,NA,NA
2004-01-06,6,1,2004,"EvansHead",25.0949993133545,23.3850002288818,1.7099990844727
2004-01-06,6,1,2004,"NorthSolitary",NA,NA,NA
2004-01-07,7,1,2004,"CapeByron",NA,NA,NA
2004-01-07,7,1,2004,"DiamondHead",NA,NA,NA
2004-01-07,7,1,2004,"EvansHead",NA,NA,NA
2004-01-07,7,1,2004,"NorthSolitary",NA,NA,NA
2004-01-08,8,1,2004,"CapeByron",NA,NA,NA
2004-01-08,8,1,2004,"DiamondHead",NA,NA,NA
2004-01-08,8,1,2004,"EvansHead",NA,NA,NA
2004-01-08,8,1,2004,"NorthSolitary",NA,NA,NA
2004-01-09,9,1,2004,"CapeByron",NA,NA,NA
2004-01-09,9,1,2004,"DiamondHead",24.9799995422363,NA,NA
2004-01-09,9,1,2004,"EvansHead",NA,NA,NA
2004-01-09,9,1,2004,"NorthSolitary",24.3150005340576,24.1000003814697,0.215000152587898
2004-01-10,10,1,2004,"CapeByron",NA,NA,NA
2004-01-10,10,1,2004,"DiamondHead",25.6800003051758,21.9950008392334,3.6849994659424
2004-01-10,10,1,2004,"EvansHead",NA,NA,NA
2004-01-10,10,1,2004,"NorthSolitary",NA,NA,NA
2004-01-11,11,1,2004,"CapeByron",NA,NA,NA
2004-01-11,11,1,2004,"DiamondHead",NA,NA,NA
2004-01-11,11,1,2004,"EvansHead",NA,NA,NA
2004-01-11,11,1,2004,"NorthSolitary",NA,NA,NA
2004-01-12,12,1,2004,"CapeByron",27.5400009155273,26.2199993133545,1.3200016021728
2004-01-12,12,1,2004,"DiamondHead",NA,NA,NA
