"Date","Day","Month","Year","Transect","East","West","Offshore_Inshore"
2004-01-01,1,1,2004,"CapeByron",25.8488001251221,NA,NA
2004-01-01,1,1,2004,"DiamondHead",25.3982000732422,25.6467998504639,-0.248599777221699
2004-01-01,1,1,2004,"EvansHead",24.8199996948242,24.2511998748779,0.5687998199463
2004-01-01,1,1,2004,"NorthSolitary",18.0666669209798,24.254400100708,-6.1877331797282
2004-01-02,2,1,2004,"CapeByron",NA,NA,NA
2004-01-02,2,1,2004,"DiamondHead",24.9307998657227,25.2762001037598,-0.345400238037097
2004-01-02,2,1,2004,"EvansHead",NA,NA,NA
2004-01-02,2,1,2004,"NorthSolitary",24.4594444698758,24.721799621582,-0.262355151706203
2004-01-03,3,1,2004,"CapeByron",25.5687499841054,25.6499996185303,-0.0812496344248999
2004-01-03,3,1,2004,"DiamondHead",24.1569998168945,23.9930000305176,0.163999786376902
2004-01-03,3,1,2004,"EvansHead",25.5294118769029,23.4835717337472,2.0458401431557
2004-01-03,3,1,2004,"NorthSolitary",24.6395002365112,24.1214000701904,0.518100166320799
2004-01-04,4,1,2004,"CapeByron",NA,NA,NA
2004-01-04,4,1,2004,"DiamondHead",NA,NA,NA
2004-01-04,4,1,2004,"EvansHead",NA,NA,NA
2004-01-04,4,1,2004,"NorthSolitary",NA,NA,NA
2004-01-05,5,1,2004,"CapeByron",25.7311999511719,25.6329999542236,0.0981999969482992
2004-01-05,5,1,2004,"DiamondHead",25.0891999816895,25.3624999788072,-0.2732999971177
2004-01-05,5,1,2004,"EvansHead",25.5924000549316,24.6900000762939,0.9023999786377
2004-01-05,5,1,2004,"NorthSolitary",24.8123999023437,NA,NA
2004-01-06,6,1,2004,"CapeByron",NA,25.4958003234863,NA
2004-01-06,6,1,2004,"DiamondHead",NA,NA,NA
2004-01-06,6,1,2004,"EvansHead",25.2613999938965,24.0832006072998,1.1781993865967
2004-01-06,6,1,2004,"NorthSolitary",NA,NA,NA
2004-01-07,7,1,2004,"CapeByron",NA,NA,NA
2004-01-07,7,1,2004,"DiamondHead",NA,NA,NA
2004-01-07,7,1,2004,"EvansHead",NA,NA,NA
2004-01-07,7,1,2004,"NorthSolitary",NA,NA,NA
2004-01-08,8,1,2004,"CapeByron",NA,NA,NA
2004-01-08,8,1,2004,"DiamondHead",NA,NA,NA
2004-01-08,8,1,2004,"EvansHead",NA,NA,NA
2004-01-08,8,1,2004,"NorthSolitary",23.2233333587646,18.7800006866455,4.4433326721191
2004-01-09,9,1,2004,"CapeByron",NA,NA,NA
2004-01-09,9,1,2004,"DiamondHead",24.4133329391479,NA,NA
2004-01-09,9,1,2004,"EvansHead",NA,NA,NA
2004-01-09,9,1,2004,"NorthSolitary",24.4683999633789,23.988999710083,0.4794002532959
2004-01-10,10,1,2004,"CapeByron",NA,NA,NA
2004-01-10,10,1,2004,"DiamondHead",NA,23.2033335367839,NA
2004-01-10,10,1,2004,"EvansHead",NA,NA,NA
2004-01-10,10,1,2004,"NorthSolitary",NA,NA,NA
2004-01-11,11,1,2004,"CapeByron",NA,NA,NA
2004-01-11,11,1,2004,"DiamondHead",NA,NA,NA
2004-01-11,11,1,2004,"EvansHead",NA,NA,NA
2004-01-11,11,1,2004,"NorthSolitary",NA,NA,NA
2004-01-12,12,1,2004,"CapeByron",27.9165908640081,26.7784000396729,1.1381908243352
2004-01-12,12,1,2004,"DiamondHead",NA,NA,NA
2004-01-12,12,1,2004,"EvansHead",26.5805999755859,24.5450000762939,2.035599899292
2004-01-12,12,1,2004,"NorthSolitary",NA,NA,NA
2004-01-13,13,1,2004,"CapeByron",NA,NA,NA
2004-01-13,13,1,2004,"DiamondHead",NA,NA,NA
2004-01-13,13,1,2004,"EvansHead",NA,NA,NA
2004-01-13,13,1,2004,"NorthSolitary",NA,NA,NA
2004-01-14,14,1,2004,"CapeByron",NA,NA,NA
2004-01-14,14,1,2004,"DiamondHead",NA,NA,NA
2004-01-14,14,1,2004,"EvansHead",NA,NA,NA
2004-01-14,14,1,2004,"NorthSolitary",NA,NA,NA
2004-01-15,15,1,2004,"CapeByron",NA,NA,NA
2004-01-15,15,1,2004,"DiamondHead",NA,NA,NA
2004-01-15,15,1,2004,"EvansHead",NA,NA,NA
2004-01-15,15,1,2004,"NorthSolitary",NA,NA,NA
2004-01-16,16,1,2004,"CapeByron",NA,NA,NA
2004-01-16,16,1,2004,"DiamondHead",NA,NA,NA
2004-01-16,16,1,2004,"EvansHead",NA,NA,NA
2004-01-16,16,1,2004,"NorthSolitary",NA,NA,NA
2004-01-17,17,1,2004,"CapeByron",NA,NA,NA
2004-01-17,17,1,2004,"DiamondHead",24.4396001434326,23.8334001922607,0.606199951171899
2004-01-17,17,1,2004,"EvansHead",NA,NA,NA
2004-01-17,17,1,2004,"NorthSolitary",NA,18.8349990844727,NA
2004-01-18,18,1,2004,"CapeByron",NA,NA,NA
2004-01-18,18,1,2004,"DiamondHead",NA,NA,NA
2004-01-18,18,1,2004,"EvansHead",25.5799999237061,NA,NA
2004-01-18,18,1,2004,"NorthSolitary",24.7478002929688,23.458571434021,1.2892288589478
2004-01-19,19,1,2004,"CapeByron",NA,NA,NA
2004-01-19,19,1,2004,"DiamondHead",25.4109998321533,25.3196000671387,0.0913997650146001
2004-01-19,19,1,2004,"EvansHead",26.9509998321533,23.9776314183285,2.9733684138248
2004-01-19,19,1,2004,"NorthSolitary",24.4608333905538,NA,NA
2004-01-20,20,1,2004,"CapeByron",NA,NA,NA
2004-01-20,20,1,2004,"DiamondHead",NA,NA,NA
2004-01-20,20,1,2004,"EvansHead",NA,NA,NA
2004-01-20,20,1,2004,"NorthSolitary",NA,NA,NA
2004-01-21,21,1,2004,"CapeByron",27.202200012207,NA,NA
2004-01-21,21,1,2004,"DiamondHead",NA,NA,NA
2004-01-21,21,1,2004,"EvansHead",NA,NA,NA
2004-01-21,21,1,2004,"NorthSolitary",NA,NA,NA
2004-01-22,22,1,2004,"CapeByron",26.4500002861023,25.6275997924805,0.822400493621799
2004-01-22,22,1,2004,"DiamondHead",NA,NA,NA
2004-01-22,22,1,2004,"EvansHead",26.2062001037598,23.3180000305176,2.8882000732422
2004-01-22,22,1,2004,"NorthSolitary",22.9536002349854,23.6928001403809,-0.739199905395498
2004-01-23,23,1,2004,"CapeByron",NA,NA,NA
2004-01-23,23,1,2004,"DiamondHead",NA,NA,NA
2004-01-23,23,1,2004,"EvansHead",23.8299999237061,NA,NA
2004-01-23,23,1,2004,"NorthSolitary",NA,NA,NA
2004-01-24,24,1,2004,"CapeByron",NA,NA,NA
2004-01-24,24,1,2004,"DiamondHead",24.8671999359131,24.824400177002,0.042799758911098
2004-01-24,24,1,2004,"EvansHead",26.8834003448486,22.7095832824707,4.1738170623779
2004-01-24,24,1,2004,"NorthSolitary",NA,NA,NA
2004-01-25,25,1,2004,"CapeByron",NA,NA,NA
2004-01-25,25,1,2004,"DiamondHead",NA,NA,NA
2004-01-25,25,1,2004,"EvansHead",NA,NA,NA
2004-01-25,25,1,2004,"NorthSolitary",NA,NA,NA
2004-01-26,26,1,2004,"CapeByron",28.9381819638339,26.1398001861572,2.7983817776767
2004-01-26,26,1,2004,"DiamondHead",25.7195999145508,27.0751998901367,-1.3555999755859
2004-01-26,26,1,2004,"EvansHead",28.5757999420166,23.9084001159668,4.6673998260498
2004-01-26,26,1,2004,"NorthSolitary",24.8384000396729,23.6279168128967,1.2104832267762
2004-01-27,27,1,2004,"CapeByron",NA,NA,NA
2004-01-27,27,1,2004,"DiamondHead",29.1450004577637,25.6252000427246,3.5198004150391
2004-01-27,27,1,2004,"EvansHead",24.8958001708984,24.6176002502441,0.278199920654302
2004-01-27,27,1,2004,"NorthSolitary",NA,NA,NA
2004-01-28,28,1,2004,"CapeByron",28.071249961853,26.5736000823975,1.4976498794555
2004-01-28,28,1,2004,"DiamondHead",25.4243997955322,25.1689998626709,0.255399932861298
2004-01-28,28,1,2004,"EvansHead",26.6815999603271,25.2799999237061,1.401600036621
2004-01-28,28,1,2004,"NorthSolitary",NA,NA,NA
2004-01-29,29,1,2004,"CapeByron",NA,NA,NA
2004-01-29,29,1,2004,"DiamondHead",NA,NA,NA
2004-01-29,29,1,2004,"EvansHead",NA,NA,NA
2004-01-29,29,1,2004,"NorthSolitary",NA,NA,NA
2004-01-30,30,1,2004,"CapeByron",NA,NA,NA
2004-01-30,30,1,2004,"DiamondHead",NA,NA,NA
2004-01-30,30,1,2004,"EvansHead",21.1599998474121,NA,NA
2004-01-30,30,1,2004,"NorthSolitary",NA,NA,NA
2004-01-31,31,1,2004,"CapeByron",27.709599609375,24.4039998626709,3.3055997467041
2004-01-31,31,1,2004,"DiamondHead",26.1740000915527,25.6220001220703,0.551999969482399
2004-01-31,31,1,2004,"EvansHead",25.4209999847412,24.774545322765,0.6464546619762
2004-01-31,31,1,2004,"NorthSolitary",25.8565999603271,24.1169997406006,1.7396002197265
2004-02-01,1,2,2004,"CapeByron",27.9949995676676,25.1123074751634,2.8826920925042
2004-02-01,1,2,2004,"DiamondHead",NA,25.3539284297398,NA
2004-02-01,1,2,2004,"EvansHead",24.9267999267578,25.6321051748175,-0.705305248059702
2004-02-01,1,2,2004,"NorthSolitary",27.1856001281738,25.0181997680664,2.1674003601074
2004-02-02,2,2,2004,"CapeByron",NA,NA,NA
2004-02-02,2,2,2004,"DiamondHead",NA,NA,NA
2004-02-02,2,2,2004,"EvansHead",NA,NA,NA
2004-02-02,2,2,2004,"NorthSolitary",NA,NA,NA
2004-02-03,3,2,2004,"CapeByron",NA,NA,NA
2004-02-03,3,2,2004,"DiamondHead",24.2800006866455,NA,NA
2004-02-03,3,2,2004,"EvansHead",NA,NA,NA
2004-02-03,3,2,2004,"NorthSolitary",NA,NA,NA
2004-02-04,4,2,2004,"CapeByron",NA,NA,NA
2004-02-04,4,2,2004,"DiamondHead",25.9935292636647,23.7938887278239,2.1996405358408
2004-02-04,4,2,2004,"EvansHead",26.7382140840803,22.9162000274658,3.8220140566145
2004-02-04,4,2,2004,"NorthSolitary",24.5371427990141,24.1935997772217,0.343543021792399
2004-02-05,5,2,2004,"CapeByron",NA,NA,NA
2004-02-05,5,2,2004,"DiamondHead",NA,NA,NA
2004-02-05,5,2,2004,"EvansHead",NA,NA,NA
2004-02-05,5,2,2004,"NorthSolitary",NA,NA,NA
2004-02-06,6,2,2004,"CapeByron",26.7000002861023,26.6300004323324,0.0699998537698967
2004-02-06,6,2,2004,"DiamondHead",27.5389998626709,23.8459999084473,3.6929999542236
2004-02-06,6,2,2004,"EvansHead",NA,23.8050003051758,NA
2004-02-06,6,2,2004,"NorthSolitary",27.4468000793457,NA,NA
2004-02-07,7,2,2004,"CapeByron",NA,26.773999710083,NA
2004-02-07,7,2,2004,"DiamondHead",27.0458003234863,NA,NA
2004-02-07,7,2,2004,"EvansHead",27.026799697876,24.5458000183105,2.4809996795655
2004-02-07,7,2,2004,"NorthSolitary",25.8908000183105,24.7072002410889,1.1835997772216
2004-02-08,8,2,2004,"CapeByron",NA,NA,NA
2004-02-08,8,2,2004,"DiamondHead",NA,25.3445997619629,NA
2004-02-08,8,2,2004,"EvansHead",NA,NA,NA
2004-02-08,8,2,2004,"NorthSolitary",NA,NA,NA
2004-02-09,9,2,2004,"CapeByron",27.9241998291016,26.6260000610352,1.2981997680664
2004-02-09,9,2,2004,"DiamondHead",25.1574001312256,21.8512499332428,3.3061501979828
2004-02-09,9,2,2004,"EvansHead",26.9464000701904,24.7887997436523,2.1576003265381
2004-02-09,9,2,2004,"NorthSolitary",22.5534782409668,25.0630001068115,-2.5095218658447
2004-02-10,10,2,2004,"CapeByron",28.4098001861572,27.5748001861572,0.834999999999997
2004-02-10,10,2,2004,"DiamondHead",25.8009998321533,25.6628001403809,0.1381996917724
2004-02-10,10,2,2004,"EvansHead",27.8024002838135,25.1421999359131,2.6602003479004
2004-02-10,10,2,2004,"NorthSolitary",25.7867999267578,25.6204002380371,0.166399688720702
2004-02-11,11,2,2004,"CapeByron",28.3030001831055,28.1868000030518,0.116200180053699
2004-02-11,11,2,2004,"DiamondHead",23.1756002044678,23.4499999826605,-0.274399778192702
2004-02-11,11,2,2004,"EvansHead",28.4150000762939,23.4095999908447,5.0054000854492
2004-02-11,11,2,2004,"NorthSolitary",26.4370001983643,25.0934001159668,1.3436000823975
2004-02-12,12,2,2004,"CapeByron",28.196600112915,28.4124000549316,-0.215799942016599
2004-02-12,12,2,2004,"DiamondHead",25.6344000244141,25.7770001220703,-0.142600097656203
2004-02-12,12,2,2004,"EvansHead",28.4189998626709,23.5155997467041,4.9034001159668
2004-02-12,12,2,2004,"NorthSolitary",26.3399996757507,NA,NA
2004-02-13,13,2,2004,"CapeByron",28.1006001281738,27.9858000183105,0.1148001098633
2004-02-13,13,2,2004,"DiamondHead",25.7102000427246,25.9924001312256,-0.282200088501
2004-02-13,13,2,2004,"EvansHead",28.1261999511719,23.370599899292,4.7556000518799
2004-02-13,13,2,2004,"NorthSolitary",25.0851998138428,23.4330435213835,1.6521562924593
2004-02-14,14,2,2004,"CapeByron",NA,NA,NA
2004-02-14,14,2,2004,"DiamondHead",NA,NA,NA
2004-02-14,14,2,2004,"EvansHead",NA,NA,NA
2004-02-14,14,2,2004,"NorthSolitary",NA,NA,NA
2004-02-15,15,2,2004,"CapeByron",28.2028574262347,NA,NA
2004-02-15,15,2,2004,"DiamondHead",NA,NA,NA
2004-02-15,15,2,2004,"EvansHead",NA,NA,NA
2004-02-15,15,2,2004,"NorthSolitary",NA,NA,NA
2004-02-16,16,2,2004,"CapeByron",NA,NA,NA
2004-02-16,16,2,2004,"DiamondHead",24.3789582252502,NA,NA
2004-02-16,16,2,2004,"EvansHead",NA,NA,NA
2004-02-16,16,2,2004,"NorthSolitary",NA,24.3729163805644,NA
2004-02-17,17,2,2004,"CapeByron",NA,NA,NA
2004-02-17,17,2,2004,"DiamondHead",NA,NA,NA
2004-02-17,17,2,2004,"EvansHead",NA,NA,NA
2004-02-17,17,2,2004,"NorthSolitary",NA,24.5770454406738,NA
2004-02-18,18,2,2004,"CapeByron",27.160599822998,27.4858001708984,-0.325200347900399
2004-02-18,18,2,2004,"DiamondHead",NA,NA,NA
2004-02-18,18,2,2004,"EvansHead",27.1443998718262,27.3235997772217,-0.1791999053955
2004-02-18,18,2,2004,"NorthSolitary",27.8509999847412,25.7456002044678,2.1053997802734
2004-02-19,19,2,2004,"CapeByron",27.749400177002,28.4309999847412,-0.6815998077392
2004-02-19,19,2,2004,"DiamondHead",25.6669998931885,25.7891999816895,-0.122200088501
