"Date","Day","Month","Year","Transect","East","West","Offshore_Inshore"
2004-01-01,1,1,2004,"CapeByron",25.8488001251221,25.681666692098,0.167133433024102
2004-01-01,1,1,2004,"DiamondHead",25.3982000732422,25.5267999267578,-0.128599853515599
2004-01-01,1,1,2004,"EvansHead",24.8199996948242,23.9141997528076,0.9057999420166
2004-01-01,1,1,2004,"NorthSolitary",18.0666669209798,24.1442001342773,-6.0775332132975
2004-01-02,2,1,2004,"CapeByron",NA,NA,NA
2004-01-02,2,1,2004,"DiamondHead",24.9307998657227,25.2712000274658,-0.340400161743098
2004-01-02,2,1,2004,"EvansHead",NA,22.8460000356038,NA
2004-01-02,2,1,2004,"NorthSolitary",24.4594444698758,24.1328000640869,0.326644405788898
2004-01-03,3,1,2004,"CapeByron",25.5687499841054,NA,NA
2004-01-03,3,1,2004,"DiamondHead",24.1569998168945,24.2428000640869,-0.0858002471923989
2004-01-03,3,1,2004,"EvansHead",25.5294118769029,24.0931249459585,1.4362869309444
2004-01-03,3,1,2004,"NorthSolitary",24.6395002365112,24.0352000427246,0.604300193786599
2004-01-04,4,1,2004,"CapeByron",NA,NA,NA
2004-01-04,4,1,2004,"DiamondHead",NA,NA,NA
2004-01-04,4,1,2004,"EvansHead",NA,NA,NA
2004-01-04,4,1,2004,"NorthSolitary",NA,NA,NA
2004-01-05,5,1,2004,"CapeByron",25.7311999511719,25.4490000152588,0.282199935913098
2004-01-05,5,1,2004,"DiamondHead",25.0891999816895,25.3896874189377,-0.300487437248201
2004-01-05,5,1,2004,"EvansHead",25.5924000549316,24.1198000335693,1.4726000213623
2004-01-05,5,1,2004,"NorthSolitary",24.8123999023437,NA,NA
2004-01-06,6,1,2004,"CapeByron",NA,25.3536000061035,NA
2004-01-06,6,1,2004,"DiamondHead",NA,NA,NA
2004-01-06,6,1,2004,"EvansHead",25.2613999938965,23.6138001251221,1.6475998687744
2004-01-06,6,1,2004,"NorthSolitary",NA,NA,NA
2004-01-07,7,1,2004,"CapeByron",NA,NA,NA
2004-01-07,7,1,2004,"DiamondHead",NA,25.8099994659424,NA
2004-01-07,7,1,2004,"EvansHead",NA,NA,NA
2004-01-07,7,1,2004,"NorthSolitary",NA,NA,NA
2004-01-08,8,1,2004,"CapeByron",NA,NA,NA
2004-01-08,8,1,2004,"DiamondHead",NA,NA,NA
2004-01-08,8,1,2004,"EvansHead",NA,NA,NA
2004-01-08,8,1,2004,"NorthSolitary",23.2233333587646,NA,NA
2004-01-09,9,1,2004,"CapeByron",NA,NA,NA
2004-01-09,9,1,2004,"DiamondHead",24.4133329391479,24.7536113527086,-0.3402784135607
2004-01-09,9,1,2004,"EvansHead",NA,NA,NA
2004-01-09,9,1,2004,"NorthSolitary",24.4683999633789,23.8888003540039,0.579599609374998
2004-01-10,10,1,2004,"CapeByron",NA,NA,NA
2004-01-10,10,1,2004,"DiamondHead",NA,NA,NA
2004-01-10,10,1,2004,"EvansHead",NA,NA,NA
2004-01-10,10,1,2004,"NorthSolitary",NA,NA,NA
2004-01-11,11,1,2004,"CapeByron",NA,NA,NA
2004-01-11,11,1,2004,"DiamondHead",NA,NA,NA
2004-01-11,11,1,2004,"EvansHead",NA,NA,NA
2004-01-11,11,1,2004,"NorthSolitary",NA,NA,NA
2004-01-12,12,1,2004,"CapeByron",27.9165908640081,26.0498001098633,1.8667907541448
2004-01-12,12,1,2004,"DiamondHead",NA,NA,NA
2004-01-12,12,1,2004,"EvansHead",26.5805999755859,NA,NA
2004-01-12,12,1,2004,"NorthSolitary",NA,NA,NA
2004-01-13,13,1,2004,"CapeByron",NA,NA,NA
2004-01-13,13,1,2004,"DiamondHead",NA,NA,NA
2004-01-13,13,1,2004,"EvansHead",NA,NA,NA
2004-01-13,13,1,2004,"NorthSolitary",NA,NA,NA
2004-01-14,14,1,2004,"CapeByron",NA,NA,NA
2004-01-14,14,1,2004,"DiamondHead",NA,NA,NA
2004-01-14,14,1,2004,"EvansHead",NA,NA,NA
2004-01-14,14,1,2004,"NorthSolitary",NA,NA,NA
2004-01-15,15,1,2004,"CapeByron",NA,NA,NA
2004-01-15,15,1,2004,"DiamondHead",NA,NA,NA
2004-01-15,15,1,2004,"EvansHead",NA,NA,NA
2004-01-15,15,1,2004,"NorthSolitary",NA,NA,NA
2004-01-16,16,1,2004,"CapeByron",NA,NA,NA
2004-01-16,16,1,2004,"DiamondHead",NA,NA,NA
2004-01-16,16,1,2004,"EvansHead",NA,NA,NA
2004-01-16,16,1,2004,"NorthSolitary",NA,NA,NA
2004-01-17,17,1,2004,"CapeByron",NA,NA,NA
2004-01-17,17,1,2004,"DiamondHead",24.4396001434326,23.4662001800537,0.973399963378899
2004-01-17,17,1,2004,"EvansHead",NA,NA,NA
2004-01-17,17,1,2004,"NorthSolitary",NA,NA,NA
2004-01-18,18,1,2004,"CapeByron",NA,NA,NA
2004-01-18,18,1,2004,"DiamondHead",NA,24.6266670227051,NA
2004-01-18,18,1,2004,"EvansHead",25.5799999237061,NA,NA
2004-01-18,18,1,2004,"NorthSolitary",24.7478002929688,NA,NA
2004-01-19,19,1,2004,"CapeByron",NA,NA,NA
2004-01-19,19,1,2004,"DiamondHead",25.4109998321533,25.3420000457764,0.068999786376903
2004-01-19,19,1,2004,"EvansHead",26.9509998321533,22.2921427772159,4.6588570549374
2004-01-19,19,1,2004,"NorthSolitary",24.4608333905538,NA,NA
2004-01-20,20,1,2004,"CapeByron",NA,NA,NA
2004-01-20,20,1,2004,"DiamondHead",NA,NA,NA
2004-01-20,20,1,2004,"EvansHead",NA,NA,NA
2004-01-20,20,1,2004,"NorthSolitary",NA,NA,NA
2004-01-21,21,1,2004,"CapeByron",27.202200012207,NA,NA
2004-01-21,21,1,2004,"DiamondHead",NA,NA,NA
2004-01-21,21,1,2004,"EvansHead",NA,NA,NA
2004-01-21,21,1,2004,"NorthSolitary",NA,NA,NA
2004-01-22,22,1,2004,"CapeByron",26.4500002861023,24.6920001983643,1.758000087738
2004-01-22,22,1,2004,"DiamondHead",NA,NA,NA
2004-01-22,22,1,2004,"EvansHead",26.2062001037598,22.4268002319336,3.7793998718262
2004-01-22,22,1,2004,"NorthSolitary",22.9536002349854,23.6550000508626,-0.701399815877199
2004-01-23,23,1,2004,"CapeByron",NA,NA,NA
2004-01-23,23,1,2004,"DiamondHead",NA,NA,NA
2004-01-23,23,1,2004,"EvansHead",23.8299999237061,NA,NA
2004-01-23,23,1,2004,"NorthSolitary",NA,NA,NA
2004-01-24,24,1,2004,"CapeByron",NA,21.9780002593994,NA
2004-01-24,24,1,2004,"DiamondHead",24.8671999359131,24.7276002502441,0.139599685668998
2004-01-24,24,1,2004,"EvansHead",26.8834003448486,22.6000003814697,4.2833999633789
2004-01-24,24,1,2004,"NorthSolitary",NA,NA,NA
2004-01-25,25,1,2004,"CapeByron",NA,NA,NA
2004-01-25,25,1,2004,"DiamondHead",NA,NA,NA
2004-01-25,25,1,2004,"EvansHead",NA,NA,NA
2004-01-25,25,1,2004,"NorthSolitary",NA,NA,NA
2004-01-26,26,1,2004,"CapeByron",28.9381819638339,24.3560001373291,4.5821818265048
2004-01-26,26,1,2004,"DiamondHead",25.7195999145508,26.7631818597967,-1.0435819452459
2004-01-26,26,1,2004,"EvansHead",28.5757999420166,24.0679999542236,4.507799987793
2004-01-26,26,1,2004,"NorthSolitary",24.8384000396729,23.0860525432386,1.7523474964343
2004-01-27,27,1,2004,"CapeByron",NA,NA,NA
2004-01-27,27,1,2004,"DiamondHead",29.1450004577637,26.5606248378754,2.5843756198883
2004-01-27,27,1,2004,"EvansHead",24.8958001708984,24.1230002593994,0.772799911499
2004-01-27,27,1,2004,"NorthSolitary",NA,NA,NA
2004-01-28,28,1,2004,"CapeByron",28.071249961853,25.0228571210589,3.0483928407941
2004-01-28,28,1,2004,"DiamondHead",25.4243997955322,24.9604544206099,0.4639453749223
2004-01-28,28,1,2004,"EvansHead",26.6815999603271,25.0154000091553,1.6661999511718
2004-01-28,28,1,2004,"NorthSolitary",NA,NA,NA
2004-01-29,29,1,2004,"CapeByron",NA,NA,NA
2004-01-29,29,1,2004,"DiamondHead",NA,NA,NA
2004-01-29,29,1,2004,"EvansHead",NA,NA,NA
2004-01-29,29,1,2004,"NorthSolitary",NA,NA,NA
2004-01-30,30,1,2004,"CapeByron",NA,NA,NA
2004-01-30,30,1,2004,"DiamondHead",NA,NA,NA
2004-01-30,30,1,2004,"EvansHead",21.1599998474121,NA,NA
2004-01-30,30,1,2004,"NorthSolitary",NA,NA,NA
2004-01-31,31,1,2004,"CapeByron",27.709599609375,23.6930001068115,4.0165995025635
2004-01-31,31,1,2004,"DiamondHead",26.1740000915527,25.7343179529363,0.439682138616398
2004-01-31,31,1,2004,"EvansHead",25.4209999847412,24.1165999603272,1.304400024414
