"Latitude","Longitude","Bathymetry","site"
"-31.8",152,243,"DiamondHead"
"-30",152,988,"NorthSolitary"
"-29",152,826,"EvansHead"
"-28.6",152,899,"CapeByron"
"-31.8",152.01,120,"DiamondHead"
"-30",152.01,1003,"NorthSolitary"
"-29",152.01,835,"EvansHead"
"-28.6",152.01,869,"CapeByron"
"-31.8",152.02,146,"DiamondHead"
"-30",152.02,994,"NorthSolitary"
"-29",152.02,841,"EvansHead"
"-28.6",152.02,857,"CapeByron"
"-31.8",152.03,240,"DiamondHead"
"-30",152.03,1025,"NorthSolitary"
"-29",152.03,860,"EvansHead"
"-28.6",152.03,845,"CapeByron"
"-31.8",152.04,389,"DiamondHead"
"-30",152.04,979,"NorthSolitary"
"-29",152.04,878,"EvansHead"
"-28.6",152.04,846,"CapeByron"
"-31.8",152.05,91,"DiamondHead"
"-30",152.05,932,"NorthSolitary"
"-29",152.05,882,"EvansHead"
"-28.6",152.05,820,"CapeByron"
"-31.8",152.06,93,"DiamondHead"
"-30",152.06,870,"NorthSolitary"
"-29",152.06,888,"EvansHead"
"-28.6",152.06,832,"CapeByron"
"-31.8",152.07,126,"DiamondHead"
"-30",152.07,912,"NorthSolitary"
"-29",152.07,884,"EvansHead"
"-28.6",152.07,797,"CapeByron"
"-31.8",152.08,217,"DiamondHead"
"-30",152.08,774,"NorthSolitary"
"-29",152.08,893,"EvansHead"
"-28.6",152.08,821,"CapeByron"
"-31.8",152.09,253,"DiamondHead"
"-30",152.09,718,"NorthSolitary"
"-29",152.09,900,"EvansHead"
"-28.6",152.09,829,"CapeByron"
"-31.8",152.1,285,"DiamondHead"
"-30",152.1,708,"NorthSolitary"
"-29",152.1,886,"EvansHead"
"-28.6",152.1,855,"CapeByron"
"-31.8",152.11,550,"DiamondHead"
"-30",152.11,649,"NorthSolitary"
"-29",152.11,835,"EvansHead"
"-28.6",152.11,813,"CapeByron"
"-31.8",152.12,369,"DiamondHead"
"-30",152.12,661,"NorthSolitary"
"-29",152.12,833,"EvansHead"
"-28.6",152.12,841,"CapeByron"
"-31.8",152.13,268,"DiamondHead"
"-30",152.13,773,"NorthSolitary"
"-29",152.13,858,"EvansHead"
"-28.6",152.13,849,"CapeByron"
"-31.8",152.14,444,"DiamondHead"
"-30",152.14,731,"NorthSolitary"
"-29",152.14,875,"EvansHead"
"-28.6",152.14,867,"CapeByron"
"-31.8",152.15,420,"DiamondHead"
"-30",152.15,605,"NorthSolitary"
"-29",152.15,875,"EvansHead"
"-28.6",152.15,874,"CapeByron"
"-31.8",152.16,421,"DiamondHead"
"-30",152.16,880,"NorthSolitary"
"-29",152.16,863,"EvansHead"
"-28.6",152.16,822,"CapeByron"
"-31.8",152.17,479,"DiamondHead"
"-30",152.17,818,"NorthSolitary"
"-29",152.17,868,"EvansHead"
"-28.6",152.17,777,"CapeByron"
"-31.8",152.18,505,"DiamondHead"
"-30",152.18,673,"NorthSolitary"
"-29",152.18,885,"EvansHead"
"-28.6",152.18,766,"CapeByron"
"-31.8",152.19,322,"DiamondHead"
"-30",152.19,600,"NorthSolitary"
"-29",152.19,830,"EvansHead"
"-28.6",152.19,737,"CapeByron"
"-31.8",152.2,258,"DiamondHead"
"-30",152.2,574,"NorthSolitary"
"-29",152.2,860,"EvansHead"
"-28.6",152.2,669,"CapeByron"
"-31.8",152.21,145,"DiamondHead"
"-30",152.21,643,"NorthSolitary"
"-29",152.21,801,"EvansHead"
"-28.6",152.21,565,"CapeByron"
"-31.8",152.22,126,"DiamondHead"
"-30",152.22,644,"NorthSolitary"
"-29",152.22,824,"EvansHead"
"-28.6",152.22,526,"CapeByron"
"-31.8",152.23,98,"DiamondHead"
"-30",152.23,462,"NorthSolitary"
"-29",152.23,807,"EvansHead"
"-28.6",152.23,488,"CapeByron"
"-31.8",152.24,107,"DiamondHead"
"-30",152.24,433,"NorthSolitary"
"-29",152.24,854,"EvansHead"
"-28.6",152.24,481,"CapeByron"
"-31.8",152.25,100,"DiamondHead"
"-30",152.25,682,"NorthSolitary"
"-29",152.25,869,"EvansHead"
"-28.6",152.25,468,"CapeByron"
"-31.8",152.26,127,"DiamondHead"
"-30",152.26,822,"NorthSolitary"
"-29",152.26,972,"EvansHead"
"-28.6",152.26,304,"CapeByron"
"-31.8",152.27,124,"DiamondHead"
"-30",152.27,630,"NorthSolitary"
"-29",152.27,987,"EvansHead"
"-28.6",152.27,333,"CapeByron"
"-31.8",152.28,79,"DiamondHead"
"-30",152.28,504,"NorthSolitary"
"-29",152.28,1021,"EvansHead"
"-28.6",152.28,340,"CapeByron"
"-31.8",152.29,79,"DiamondHead"
"-30",152.29,444,"NorthSolitary"
"-29",152.29,871,"EvansHead"
"-28.6",152.29,359,"CapeByron"
"-31.8",152.3,88,"DiamondHead"
"-30",152.3,464,"NorthSolitary"
"-29",152.3,572,"EvansHead"
"-28.6",152.3,478,"CapeByron"
"-31.8",152.31,68,"DiamondHead"
"-30",152.31,374,"NorthSolitary"
"-29",152.31,461,"EvansHead"
"-28.6",152.31,511,"CapeByron"
"-31.8",152.32,100,"DiamondHead"
"-30",152.32,412,"NorthSolitary"
"-29",152.32,430,"EvansHead"
"-28.6",152.32,479,"CapeByron"
"-31.8",152.33,63,"DiamondHead"
