cell_x_y,taxa,num_id,dimension,measure_mm,Sample
"1,8",Copepod,1,length,0.891,333_0.5B
"1,8",Copepod,1,width,0.392,333_0.5B
"1,8",Copepod,2,length,0.474,333_0.5B
"1,8",Copepod,2,width,0.282,333_0.5B
"1,8",Copepod,3,length,1.628,333_0.5B
"1,8",Copepod,3,width,0.472,333_0.5B
"1,8",Copepod,4,length,0.846,333_0.5B
"1,8",Copepod,4,width,0.396,333_0.5B
"1,8",Copepod,5,length,1.543,333_0.5B
"1,8",Copepod,5,width,0.562,333_0.5B
"1,8",Copepod,6,length,2.384,333_0.5B
"1,8",Copepod,6,width,0.68,333_0.5B
"1,8",Copepod,7,length,0.811,333_0.5B
"1,8",Copepod,7,width,0.361,333_0.5B
"1,8",Copepod,8,length,1.146,333_0.5B
"1,8",Copepod,8,width,0.389,333_0.5B
"1,8",Copepod,9,length,0.923,333_0.5B
"1,8",Copepod,9,width,0.407,333_0.5B
"1,8",Copepod,10,length,0.951,333_0.5B
"1,8",Copepod,10,width,0.362,333_0.5B
"1,8",Copepod,11,length,1.475,333_0.5B
"1,8",Copepod,11,width,0.678,333_0.5B
"1,8",Copepod,12,length,0.618,333_0.5B
"1,8",Copepod,12,width,0.298,333_0.5B
"1,8",Copepod,13,length,0.466,333_0.5B
"1,8",Copepod,13,width,0.322,333_0.5B
"1,8",Copepod,14,length,0.671,333_0.5B
"1,8",Copepod,14,width,0.311,333_0.5B
"1,8",Copepod,15,length,2.483,333_0.5B
"1,8",Copepod,15,width,0.599,333_0.5B
"1,8",Copepod,16,length,1.019,333_0.5B
"1,8",Copepod,16,width,0.389,333_0.5B
"1,8",Copepod,17,length,0.799,333_0.5B
"1,8",Copepod,17,width,0.225,333_0.5B
"1,8",Copepod,18,length,0.885,333_0.5B
"1,8",Copepod,18,width,0.483,333_0.5B
"1,8",Copepod,19,length,0.979,333_0.5B
"1,8",Copepod,19,width,0.467,333_0.5B
"1,8",Copepod,20,length,0.812,333_0.5B
"1,8",Copepod,20,width,0.424,333_0.5B
"1,8",Copepod,21,length,1.364,333_0.5B
"1,8",Copepod,21,width,0.489,333_0.5B
"1,8",Copepod,22,length,2.067,333_0.5B
"1,8",Copepod,22,width,0.659,333_0.5B
"1,8",Copepod,23,length,1.959,333_0.5B
"1,8",Copepod,23,width,0.526,333_0.5B
"1,8",Copepod,24,length,2.123,333_0.5B
"1,8",Copepod,24,width,0.687,333_0.5B
"1,8",Copepod,25,length,0.684,333_0.5B
"1,8",Copepod,25,width,0.189,333_0.5B
"1,8",Copepod,27,length,0.838,333_0.5B
"1,8",Copepod,27,width,0.298,333_0.5B
"1,8",Copepod,28,length,0.493,333_0.5B
"1,8",Copepod,28,width,0.196,333_0.5B
"1,8",Copepod,29,length,0.929,333_0.5B
"1,8",Copepod,29,width,0.564,333_0.5B
"1,8",Copepod,30,length,0.896,333_0.5B
"1,8",Copepod,30,width,0.306,333_0.5B
"1,8",Copepod,31,length,0.344,333_0.5B
"1,8",Copepod,31,width,0.216,333_0.5B
"1,8",Copepod,32,length,1.33,333_0.5B
"1,8",Copepod,32,width,0.443,333_0.5B
"1,8",Copepod,33,length,0.972,333_0.5B
"1,8",Copepod,33,width,0.317,333_0.5B
