"Longitude","Latitude","Date","Location","Day","Month","Year","sst_1d"
153.637,-29,2004-01-01,"EvansHead_West",1,1,2004,24.2511998748779
153.637,-29,2004-01-02,"EvansHead_West",2,1,2004,NA
153.637,-29,2004-01-03,"EvansHead_West",3,1,2004,23.4835717337472
153.637,-29,2004-01-04,"EvansHead_West",4,1,2004,NA
153.637,-29,2004-01-05,"EvansHead_West",5,1,2004,24.6900000762939
153.637,-29,2004-01-06,"EvansHead_West",6,1,2004,24.0832006072998
153.637,-29,2004-01-07,"EvansHead_West",7,1,2004,NA
153.637,-29,2004-01-08,"EvansHead_West",8,1,2004,NA
153.637,-29,2004-01-09,"EvansHead_West",9,1,2004,NA
153.637,-29,2004-01-10,"EvansHead_West",10,1,2004,NA
153.637,-29,2004-01-11,"EvansHead_West",11,1,2004,NA
153.637,-29,2004-01-12,"EvansHead_West",12,1,2004,24.5450000762939
153.637,-29,2004-01-13,"EvansHead_West",13,1,2004,NA
153.637,-29,2004-01-14,"EvansHead_West",14,1,2004,NA
153.637,-29,2004-01-15,"EvansHead_West",15,1,2004,NA
153.637,-29,2004-01-16,"EvansHead_West",16,1,2004,NA
153.637,-29,2004-01-17,"EvansHead_West",17,1,2004,NA
153.637,-29,2004-01-18,"EvansHead_West",18,1,2004,NA
153.637,-29,2004-01-19,"EvansHead_West",19,1,2004,23.9776314183285
153.637,-29,2004-01-20,"EvansHead_West",20,1,2004,NA
153.637,-29,2004-01-21,"EvansHead_West",21,1,2004,NA
153.637,-29,2004-01-22,"EvansHead_West",22,1,2004,23.3180000305176
153.637,-29,2004-01-23,"EvansHead_West",23,1,2004,NA
153.637,-29,2004-01-24,"EvansHead_West",24,1,2004,22.7095832824707
153.637,-29,2004-01-25,"EvansHead_West",25,1,2004,NA
153.637,-29,2004-01-26,"EvansHead_West",26,1,2004,23.9084001159668
153.637,-29,2004-01-27,"EvansHead_West",27,1,2004,24.6176002502441
153.637,-29,2004-01-28,"EvansHead_West",28,1,2004,25.2799999237061
153.637,-29,2004-01-29,"EvansHead_West",29,1,2004,NA
