"Longitude","Latitude","Date","Location","Day","Month","Year","sst_1d"
153.5652,-29,2004-01-01,"EvansHead_West",1,1,2004,23.9141997528076
153.5652,-29,2004-01-02,"EvansHead_West",2,1,2004,22.8460000356038
153.5652,-29,2004-01-03,"EvansHead_West",3,1,2004,24.0931249459585
153.5652,-29,2004-01-04,"EvansHead_West",4,1,2004,NA
153.5652,-29,2004-01-05,"EvansHead_West",5,1,2004,24.1198000335693
153.5652,-29,2004-01-06,"EvansHead_West",6,1,2004,23.6138001251221
153.5652,-29,2004-01-07,"EvansHead_West",7,1,2004,NA
153.5652,-29,2004-01-08,"EvansHead_West",8,1,2004,NA
153.5652,-29,2004-01-09,"EvansHead_West",9,1,2004,NA
153.5652,-29,2004-01-10,"EvansHead_West",10,1,2004,NA
153.5652,-29,2004-01-11,"EvansHead_West",11,1,2004,NA
153.5652,-29,2004-01-12,"EvansHead_West",12,1,2004,NA
153.5652,-29,2004-01-13,"EvansHead_West",13,1,2004,NA
153.5652,-29,2004-01-14,"EvansHead_West",14,1,2004,NA
153.5652,-29,2004-01-15,"EvansHead_West",15,1,2004,NA
153.5652,-29,2004-01-16,"EvansHead_West",16,1,2004,NA
153.5652,-29,2004-01-17,"EvansHead_West",17,1,2004,NA
153.5652,-29,2004-01-18,"EvansHead_West",18,1,2004,NA
153.5652,-29,2004-01-19,"EvansHead_West",19,1,2004,22.2921427772159
153.5652,-29,2004-01-20,"EvansHead_West",20,1,2004,NA
153.5652,-29,2004-01-21,"EvansHead_West",21,1,2004,NA
153.5652,-29,2004-01-22,"EvansHead_West",22,1,2004,22.4268002319336
153.5652,-29,2004-01-23,"EvansHead_West",23,1,2004,NA
153.5652,-29,2004-01-24,"EvansHead_West",24,1,2004,22.6000003814697
153.5652,-29,2004-01-25,"EvansHead_West",25,1,2004,NA
153.5652,-29,2004-01-26,"EvansHead_West",26,1,2004,24.0679999542236
153.5652,-29,2004-01-27,"EvansHead_West",27,1,2004,24.1230002593994
153.5652,-29,2004-01-28,"EvansHead_West",28,1,2004,25.0154000091553
153.5652,-29,2004-01-29,"EvansHead_West",29,1,2004,NA
153.5652,-29,2004-01-30,"EvansHead_West",30,1,2004,NA
153.5652,-29,2004-01-31,"EvansHead_West",31,1,2004,24.1165999603272
153.5652,-29,2004-02-01,"EvansHead_West",1,2,2004,25.3129997253418
153.5652,-29,2004-02-02,"EvansHead_West",2,2,2004,NA
153.5652,-29,2004-02-03,"EvansHead_West",3,2,2004,NA
153.5652,-29,2004-02-04,"EvansHead_West",4,2,2004,23.3856000518799
153.5652,-29,2004-02-05,"EvansHead_West",5,2,2004,NA
153.5652,-29,2004-02-06,"EvansHead_West",6,2,2004,NA
153.5652,-29,2004-02-07,"EvansHead_West",7,2,2004,23.9699996185303
153.5652,-29,2004-02-08,"EvansHead_West",8,2,2004,NA
153.5652,-29,2004-02-09,"EvansHead_West",9,2,2004,24.5241999816895
153.5652,-29,2004-02-10,"EvansHead_West",10,2,2004,25.2313045833422
153.5652,-29,2004-02-11,"EvansHead_West",11,2,2004,24.1180000305176
153.5652,-29,2004-02-12,"EvansHead_West",12,2,2004,23.338999786377
153.5652,-29,2004-02-13,"EvansHead_West",13,2,2004,23.1038001251221
153.5652,-29,2004-02-14,"EvansHead_West",14,2,2004,NA
153.5652,-29,2004-02-15,"EvansHead_West",15,2,2004,NA
153.5652,-29,2004-02-16,"EvansHead_West",16,2,2004,NA
153.5652,-29,2004-02-17,"EvansHead_West",17,2,2004,NA
153.5652,-29,2004-02-18,"EvansHead_West",18,2,2004,26.4606000518799
153.5652,-29,2004-02-19,"EvansHead_West",19,2,2004,25.7695999145508
153.5652,-29,2004-02-20,"EvansHead_West",20,2,2004,26.2519999694824
153.5652,-29,2004-02-21,"EvansHead_West",21,2,2004,NA
153.5652,-29,2004-02-22,"EvansHead_West",22,2,2004,NA
153.5652,-29,2004-02-23,"EvansHead_West",23,2,2004,NA
153.5652,-29,2004-02-24,"EvansHead_West",24,2,2004,NA
153.5652,-29,2004-02-25,"EvansHead_West",25,2,2004,NA
153.5652,-29,2004-02-26,"EvansHead_West",26,2,2004,24.5440000152588
153.5652,-29,2004-02-27,"EvansHead_West",27,2,2004,24.5254000091553
153.5652,-29,2004-02-28,"EvansHead_West",28,2,2004,24.9821998596191
153.5652,-29,2004-02-29,"EvansHead_West",29,2,2004,NA
153.5652,-29,2004-03-01,"EvansHead_West",1,3,2004,NA
153.5652,-29,2004-03-02,"EvansHead_West",2,3,2004,NA
153.5652,-29,2004-03-03,"EvansHead_West",3,3,2004,24.8263996887207
153.5652,-29,2004-03-04,"EvansHead_West",4,3,2004,25.1045998382568
153.5652,-29,2004-03-05,"EvansHead_West",5,3,2004,NA
153.5652,-29,2004-03-06,"EvansHead_West",6,3,2004,NA
153.5652,-29,2004-03-07,"EvansHead_West",7,3,2004,25.0599994659424
153.5652,-29,2004-03-08,"EvansHead_West",8,3,2004,NA
153.5652,-29,2004-03-09,"EvansHead_West",9,3,2004,26.0470001983643
153.5652,-29,2004-03-10,"EvansHead_West",10,3,2004,NA
153.5652,-29,2004-03-11,"EvansHead_West",11,3,2004,NA
153.5652,-29,2004-03-12,"EvansHead_West",12,3,2004,NA
153.5652,-29,2004-03-13,"EvansHead_West",13,3,2004,25.2800000762939
153.5652,-29,2004-03-14,"EvansHead_West",14,3,2004,NA
153.5652,-29,2004-03-15,"EvansHead_West",15,3,2004,25.4490001678467
153.5652,-29,2004-03-16,"EvansHead_West",16,3,2004,25.6908334891001
153.5652,-29,2004-03-17,"EvansHead_West",17,3,2004,NA
153.5652,-29,2004-03-18,"EvansHead_West",18,3,2004,26.627200012207
153.5652,-29,2004-03-19,"EvansHead_West",19,3,2004,25.5010000228882
153.5652,-29,2004-03-20,"EvansHead_West",20,3,2004,NA
153.5652,-29,2004-03-21,"EvansHead_West",21,3,2004,27.2969997406006
153.5652,-29,2004-03-22,"EvansHead_West",22,3,2004,NA
153.5652,-29,2004-03-23,"EvansHead_West",23,3,2004,NA
153.5652,-29,2004-03-24,"EvansHead_West",24,3,2004,NA
153.5652,-29,2004-03-25,"EvansHead_West",25,3,2004,24.3866666952769
153.5652,-29,2004-03-26,"EvansHead_West",26,3,2004,25.1340001678467
153.5652,-29,2004-03-27,"EvansHead_West",27,3,2004,25.0925997924805
153.5652,-29,2004-03-28,"EvansHead_West",28,3,2004,NA
153.5652,-29,2004-03-29,"EvansHead_West",29,3,2004,NA
153.5652,-29,2004-03-30,"EvansHead_West",30,3,2004,25.6347055996166
153.5652,-29,2004-03-31,"EvansHead_West",31,3,2004,24.5426000213623
153.5652,-29,2004-04-01,"EvansHead_West",1,4,2004,22.6041998291016
153.5652,-29,2004-04-02,"EvansHead_West",2,4,2004,NA
153.5652,-29,2004-04-03,"EvansHead_West",3,4,2004,25.0042103215268
153.5652,-29,2004-04-04,"EvansHead_West",4,4,2004,25.8009998321533
153.5652,-29,2004-04-05,"EvansHead_West",5,4,2004,24.6599998474121
153.5652,-29,2004-04-06,"EvansHead_West",6,4,2004,NA
153.5652,-29,2004-04-07,"EvansHead_West",7,4,2004,24.5519445207384
153.5652,-29,2004-04-08,"EvansHead_West",8,4,2004,NA
153.5652,-29,2004-04-09,"EvansHead_West",9,4,2004,NA
153.5652,-29,2004-04-10,"EvansHead_West",10,4,2004,25.3847998809814
153.5652,-29,2004-04-11,"EvansHead_West",11,4,2004,26.1478001403809
153.5652,-29,2004-04-12,"EvansHead_West",12,4,2004,25.1576000213623
153.5652,-29,2004-04-13,"EvansHead_West",13,4,2004,24.1811364780773
153.5652,-29,2004-04-14,"EvansHead_West",14,4,2004,22.7954165140788
153.5652,-29,2004-04-15,"EvansHead_West",15,4,2004,24.3045453158292
153.5652,-29,2004-04-16,"EvansHead_West",16,4,2004,20.4099998474121
153.5652,-29,2004-04-17,"EvansHead_West",17,4,2004,22.6750001907349
153.5652,-29,2004-04-18,"EvansHead_West",18,4,2004,NA
153.5652,-29,2004-04-19,"EvansHead_West",19,4,2004,22.6157144818987
153.5652,-29,2004-04-20,"EvansHead_West",20,4,2004,24.3593999481201
153.5652,-29,2004-04-21,"EvansHead_West",21,4,2004,24.9160000610352
153.5652,-29,2004-04-22,"EvansHead_West",22,4,2004,25.1235998535156
153.5652,-29,2004-04-23,"EvansHead_West",23,4,2004,25.7648003387451
153.5652,-29,2004-04-24,"EvansHead_West",24,4,2004,24.4912001037598
153.5652,-29,2004-04-25,"EvansHead_West",25,4,2004,NA
153.5652,-29,2004-04-26,"EvansHead_West",26,4,2004,NA
153.5652,-29,2004-04-27,"EvansHead_West",27,4,2004,23.5088635357943
153.5652,-29,2004-04-28,"EvansHead_West",28,4,2004,NA
153.5652,-29,2004-04-29,"EvansHead_West",29,4,2004,NA
153.5652,-29,2004-04-30,"EvansHead_West",30,4,2004,22.1536843149286
153.5652,-29,2004-05-01,"EvansHead_West",1,5,2004,22.4547998809814
153.5652,-29,2004-05-02,"EvansHead_West",2,5,2004,23.063800201416
153.5652,-29,2004-05-03,"EvansHead_West",3,5,2004,21.4729167620341
153.5652,-29,2004-05-04,"EvansHead_West",4,5,2004,NA
153.5652,-29,2004-05-05,"EvansHead_West",5,5,2004,21.169400100708
153.5652,-29,2004-05-06,"EvansHead_West",6,5,2004,21.960000038147
153.5652,-29,2004-05-07,"EvansHead_West",7,5,2004,NA
153.5652,-29,2004-05-08,"EvansHead_West",8,5,2004,NA
153.5652,-29,2004-05-09,"EvansHead_West",9,5,2004,21.9955999755859
153.5652,-29,2004-05-10,"EvansHead_West",10,5,2004,NA
153.5652,-29,2004-05-11,"EvansHead_West",11,5,2004,NA
153.5652,-29,2004-05-12,"EvansHead_West",12,5,2004,22.7936000061035
153.5652,-29,2004-05-13,"EvansHead_West",13,5,2004,23.6197618756975
153.5652,-29,2004-05-14,"EvansHead_West",14,5,2004,23.7773684451455
153.5652,-29,2004-05-15,"EvansHead_West",15,5,2004,23.3963998413086
153.5652,-29,2004-05-16,"EvansHead_West",16,5,2004,23.0040001678467
153.5652,-29,2004-05-17,"EvansHead_West",17,5,2004,22.4629998779297
153.5652,-29,2004-05-18,"EvansHead_West",18,5,2004,23.3980000305176
153.5652,-29,2004-05-19,"EvansHead_West",19,5,2004,21.9921997833252
153.5652,-29,2004-05-20,"EvansHead_West",20,5,2004,NA
153.5652,-29,2004-05-21,"EvansHead_West",21,5,2004,22.8783999633789
153.5652,-29,2004-05-22,"EvansHead_West",22,5,2004,NA
153.5652,-29,2004-05-23,"EvansHead_West",23,5,2004,NA
153.5652,-29,2004-05-24,"EvansHead_West",24,5,2004,23.4770001220703
153.5652,-29,2004-05-25,"EvansHead_West",25,5,2004,NA
153.5652,-29,2004-05-26,"EvansHead_West",26,5,2004,22.4784210606625
153.5652,-29,2004-05-27,"EvansHead_West",27,5,2004,NA
153.5652,-29,2004-05-28,"EvansHead_West",28,5,2004,21.9374001312256
153.5652,-29,2004-05-29,"EvansHead_West",29,5,2004,22.7288888295492
153.5652,-29,2004-05-30,"EvansHead_West",30,5,2004,NA
153.5652,-29,2004-05-31,"EvansHead_West",31,5,2004,21.6524000549316
153.5652,-29,2004-06-01,"EvansHead_West",1,6,2004,NA
