"Longitude","Latitude","Date","Location","Day","Month","Year","sst_1d"
153.6431,-29.99975,2004-01-01,"NorthSolitary_East",1,1,2004,18.0666669209798
153.6431,-29.99975,2004-01-02,"NorthSolitary_East",2,1,2004,24.4594444698758
153.6431,-29.99975,2004-01-03,"NorthSolitary_East",3,1,2004,24.6395002365112
153.6431,-29.99975,2004-01-04,"NorthSolitary_East",4,1,2004,NA
153.6431,-29.99975,2004-01-05,"NorthSolitary_East",5,1,2004,24.8123999023437
153.6431,-29.99975,2004-01-06,"NorthSolitary_East",6,1,2004,NA
153.6431,-29.99975,2004-01-07,"NorthSolitary_East",7,1,2004,NA
153.6431,-29.99975,2004-01-08,"NorthSolitary_East",8,1,2004,23.2233333587646
153.6431,-29.99975,2004-01-09,"NorthSolitary_East",9,1,2004,24.4683999633789
153.6431,-29.99975,2004-01-10,"NorthSolitary_East",10,1,2004,NA
153.6431,-29.99975,2004-01-11,"NorthSolitary_East",11,1,2004,NA
153.6431,-29.99975,2004-01-12,"NorthSolitary_East",12,1,2004,NA
153.6431,-29.99975,2004-01-13,"NorthSolitary_East",13,1,2004,NA
153.6431,-29.99975,2004-01-14,"NorthSolitary_East",14,1,2004,NA
153.6431,-29.99975,2004-01-15,"NorthSolitary_East",15,1,2004,NA
153.6431,-29.99975,2004-01-16,"NorthSolitary_East",16,1,2004,NA
153.6431,-29.99975,2004-01-17,"NorthSolitary_East",17,1,2004,NA
153.6431,-29.99975,2004-01-18,"NorthSolitary_East",18,1,2004,24.7478002929688
153.6431,-29.99975,2004-01-19,"NorthSolitary_East",19,1,2004,24.4608333905538
153.6431,-29.99975,2004-01-20,"NorthSolitary_East",20,1,2004,NA
153.6431,-29.99975,2004-01-21,"NorthSolitary_East",21,1,2004,NA
153.6431,-29.99975,2004-01-22,"NorthSolitary_East",22,1,2004,22.9536002349854
153.6431,-29.99975,2004-01-23,"NorthSolitary_East",23,1,2004,NA
153.6431,-29.99975,2004-01-24,"NorthSolitary_East",24,1,2004,NA
153.6431,-29.99975,2004-01-25,"NorthSolitary_East",25,1,2004,NA
153.6431,-29.99975,2004-01-26,"NorthSolitary_East",26,1,2004,24.8384000396729
153.6431,-29.99975,2004-01-27,"NorthSolitary_East",27,1,2004,NA
153.6431,-29.99975,2004-01-28,"NorthSolitary_East",28,1,2004,NA
153.6431,-29.99975,2004-01-29,"NorthSolitary_East",29,1,2004,NA
153.6431,-29.99975,2004-01-30,"NorthSolitary_East",30,1,2004,NA
153.6431,-29.99975,2004-01-31,"NorthSolitary_East",31,1,2004,25.8565999603271
153.6431,-29.99975,2004-02-01,"NorthSolitary_East",1,2,2004,27.1856001281738
153.6431,-29.99975,2004-02-02,"NorthSolitary_East",2,2,2004,NA
153.6431,-29.99975,2004-02-03,"NorthSolitary_East",3,2,2004,NA
153.6431,-29.99975,2004-02-04,"NorthSolitary_East",4,2,2004,24.5371427990141
153.6431,-29.99975,2004-02-05,"NorthSolitary_East",5,2,2004,NA
153.6431,-29.99975,2004-02-06,"NorthSolitary_East",6,2,2004,27.4468000793457
153.6431,-29.99975,2004-02-07,"NorthSolitary_East",7,2,2004,25.8908000183105
153.6431,-29.99975,2004-02-08,"NorthSolitary_East",8,2,2004,NA
153.6431,-29.99975,2004-02-09,"NorthSolitary_East",9,2,2004,22.5534782409668
153.6431,-29.99975,2004-02-10,"NorthSolitary_East",10,2,2004,25.7867999267578
153.6431,-29.99975,2004-02-11,"NorthSolitary_East",11,2,2004,26.4370001983643
153.6431,-29.99975,2004-02-12,"NorthSolitary_East",12,2,2004,26.3399996757507
153.6431,-29.99975,2004-02-13,"NorthSolitary_East",13,2,2004,25.0851998138428
153.6431,-29.99975,2004-02-14,"NorthSolitary_East",14,2,2004,NA
153.6431,-29.99975,2004-02-15,"NorthSolitary_East",15,2,2004,NA
153.6431,-29.99975,2004-02-16,"NorthSolitary_East",16,2,2004,NA
153.6431,-29.99975,2004-02-17,"NorthSolitary_East",17,2,2004,NA
153.6431,-29.99975,2004-02-18,"NorthSolitary_East",18,2,2004,27.8509999847412
153.6431,-29.99975,2004-02-19,"NorthSolitary_East",19,2,2004,28.5304000854492
153.6431,-29.99975,2004-02-20,"NorthSolitary_East",20,2,2004,NA
153.6431,-29.99975,2004-02-21,"NorthSolitary_East",21,2,2004,NA
153.6431,-29.99975,2004-02-22,"NorthSolitary_East",22,2,2004,NA
153.6431,-29.99975,2004-02-23,"NorthSolitary_East",23,2,2004,NA
153.6431,-29.99975,2004-02-24,"NorthSolitary_East",24,2,2004,NA
153.6431,-29.99975,2004-02-25,"NorthSolitary_East",25,2,2004,NA
153.6431,-29.99975,2004-02-26,"NorthSolitary_East",26,2,2004,24.8009998321533
153.6431,-29.99975,2004-02-27,"NorthSolitary_East",27,2,2004,24.9071999359131
153.6431,-29.99975,2004-02-28,"NorthSolitary_East",28,2,2004,23.5725002288818
153.6431,-29.99975,2004-02-29,"NorthSolitary_East",29,2,2004,NA
153.6431,-29.99975,2004-03-01,"NorthSolitary_East",1,3,2004,NA
