"Longitude","Latitude","Date","Location","Day","Month","Year","sst_1d"
153.3115,-30,2004-01-01,"NorthSolitary_West",1,1,2004,24.1442001342773
153.3115,-30,2004-01-02,"NorthSolitary_West",2,1,2004,24.1328000640869
153.3115,-30,2004-01-03,"NorthSolitary_West",3,1,2004,24.0352000427246
153.3115,-30,2004-01-04,"NorthSolitary_West",4,1,2004,NA
153.3115,-30,2004-01-05,"NorthSolitary_West",5,1,2004,NA
153.3115,-30,2004-01-06,"NorthSolitary_West",6,1,2004,NA
153.3115,-30,2004-01-07,"NorthSolitary_West",7,1,2004,NA
153.3115,-30,2004-01-08,"NorthSolitary_West",8,1,2004,NA
153.3115,-30,2004-01-09,"NorthSolitary_West",9,1,2004,23.8888003540039
153.3115,-30,2004-01-10,"NorthSolitary_West",10,1,2004,NA
153.3115,-30,2004-01-11,"NorthSolitary_West",11,1,2004,NA
153.3115,-30,2004-01-12,"NorthSolitary_West",12,1,2004,NA
153.3115,-30,2004-01-13,"NorthSolitary_West",13,1,2004,NA
153.3115,-30,2004-01-14,"NorthSolitary_West",14,1,2004,NA
153.3115,-30,2004-01-15,"NorthSolitary_West",15,1,2004,NA
153.3115,-30,2004-01-16,"NorthSolitary_West",16,1,2004,NA
153.3115,-30,2004-01-17,"NorthSolitary_West",17,1,2004,NA
153.3115,-30,2004-01-18,"NorthSolitary_West",18,1,2004,NA
153.3115,-30,2004-01-19,"NorthSolitary_West",19,1,2004,NA
153.3115,-30,2004-01-20,"NorthSolitary_West",20,1,2004,NA
153.3115,-30,2004-01-21,"NorthSolitary_West",21,1,2004,NA
153.3115,-30,2004-01-22,"NorthSolitary_West",22,1,2004,23.6550000508626
153.3115,-30,2004-01-23,"NorthSolitary_West",23,1,2004,NA
153.3115,-30,2004-01-24,"NorthSolitary_West",24,1,2004,NA
153.3115,-30,2004-01-25,"NorthSolitary_West",25,1,2004,NA
153.3115,-30,2004-01-26,"NorthSolitary_West",26,1,2004,23.0860525432386
153.3115,-30,2004-01-27,"NorthSolitary_West",27,1,2004,NA
153.3115,-30,2004-01-28,"NorthSolitary_West",28,1,2004,NA
153.3115,-30,2004-01-29,"NorthSolitary_West",29,1,2004,NA
153.3115,-30,2004-01-30,"NorthSolitary_West",30,1,2004,NA
153.3115,-30,2004-01-31,"NorthSolitary_West",31,1,2004,23.5368000030518
153.3115,-30,2004-02-01,"NorthSolitary_West",1,2,2004,24.545599899292
153.3115,-30,2004-02-02,"NorthSolitary_West",2,2,2004,NA
153.3115,-30,2004-02-03,"NorthSolitary_West",3,2,2004,NA
153.3115,-30,2004-02-04,"NorthSolitary_West",4,2,2004,23.8725998687744
153.3115,-30,2004-02-05,"NorthSolitary_West",5,2,2004,NA
153.3115,-30,2004-02-06,"NorthSolitary_West",6,2,2004,NA
153.3115,-30,2004-02-07,"NorthSolitary_West",7,2,2004,24.4933999633789
153.3115,-30,2004-02-08,"NorthSolitary_West",8,2,2004,NA
153.3115,-30,2004-02-09,"NorthSolitary_West",9,2,2004,24.4440000152588
153.3115,-30,2004-02-10,"NorthSolitary_West",10,2,2004,25.1356000518799
153.3115,-30,2004-02-11,"NorthSolitary_West",11,2,2004,24.3984000396729
153.3115,-30,2004-02-12,"NorthSolitary_West",12,2,2004,NA
153.3115,-30,2004-02-13,"NorthSolitary_West",13,2,2004,21.8693747520447
153.3115,-30,2004-02-14,"NorthSolitary_West",14,2,2004,NA
153.3115,-30,2004-02-15,"NorthSolitary_West",15,2,2004,NA
153.3115,-30,2004-02-16,"NorthSolitary_West",16,2,2004,24.2250003814697
153.3115,-30,2004-02-17,"NorthSolitary_West",17,2,2004,24.3691666126251
153.3115,-30,2004-02-18,"NorthSolitary_West",18,2,2004,25.0233997344971
153.3115,-30,2004-02-19,"NorthSolitary_West",19,2,2004,26.9599990844727
153.3115,-30,2004-02-20,"NorthSolitary_West",20,2,2004,24.7849998474121
153.3115,-30,2004-02-21,"NorthSolitary_West",21,2,2004,NA
153.3115,-30,2004-02-22,"NorthSolitary_West",22,2,2004,NA
153.3115,-30,2004-02-23,"NorthSolitary_West",23,2,2004,NA
153.3115,-30,2004-02-24,"NorthSolitary_West",24,2,2004,NA
153.3115,-30,2004-02-25,"NorthSolitary_West",25,2,2004,23.2090910131281
153.3115,-30,2004-02-26,"NorthSolitary_West",26,2,2004,24.5237500667572
153.3115,-30,2004-02-27,"NorthSolitary_West",27,2,2004,24.8105999755859
153.3115,-30,2004-02-28,"NorthSolitary_West",28,2,2004,NA
153.3115,-30,2004-02-29,"NorthSolitary_West",29,2,2004,NA
153.3115,-30,2004-03-01,"NorthSolitary_West",1,3,2004,NA
153.3115,-30,2004-03-02,"NorthSolitary_West",2,3,2004,NA
153.3115,-30,2004-03-03,"NorthSolitary_West",3,3,2004,NA
153.3115,-30,2004-03-04,"NorthSolitary_West",4,3,2004,NA
153.3115,-30,2004-03-05,"NorthSolitary_West",5,3,2004,NA
153.3115,-30,2004-03-06,"NorthSolitary_West",6,3,2004,24.0334997177124
153.3115,-30,2004-03-07,"NorthSolitary_West",7,3,2004,24.5555554495917
153.3115,-30,2004-03-08,"NorthSolitary_West",8,3,2004,NA
153.3115,-30,2004-03-09,"NorthSolitary_West",9,3,2004,25.5212001037598
153.3115,-30,2004-03-10,"NorthSolitary_West",10,3,2004,NA
153.3115,-30,2004-03-11,"NorthSolitary_West",11,3,2004,NA
153.3115,-30,2004-03-12,"NorthSolitary_West",12,3,2004,24.6341999053955
153.3115,-30,2004-03-13,"NorthSolitary_West",13,3,2004,25.3374000549316
153.3115,-30,2004-03-14,"NorthSolitary_West",14,3,2004,NA
153.3115,-30,2004-03-15,"NorthSolitary_West",15,3,2004,NA
153.3115,-30,2004-03-16,"NorthSolitary_West",16,3,2004,25.202916542689
153.3115,-30,2004-03-17,"NorthSolitary_West",17,3,2004,NA
153.3115,-30,2004-03-18,"NorthSolitary_West",18,3,2004,NA
153.3115,-30,2004-03-19,"NorthSolitary_West",19,3,2004,25.8026000213623
153.3115,-30,2004-03-20,"NorthSolitary_West",20,3,2004,26.0176000976562
153.3115,-30,2004-03-21,"NorthSolitary_West",21,3,2004,25.2999992370605
153.3115,-30,2004-03-22,"NorthSolitary_West",22,3,2004,NA
153.3115,-30,2004-03-23,"NorthSolitary_West",23,3,2004,NA
153.3115,-30,2004-03-24,"NorthSolitary_West",24,3,2004,NA
153.3115,-30,2004-03-25,"NorthSolitary_West",25,3,2004,24.9376085530157
153.3115,-30,2004-03-26,"NorthSolitary_West",26,3,2004,25.2276087221892
153.3115,-30,2004-03-27,"NorthSolitary_West",27,3,2004,24.7099990844727
153.3115,-30,2004-03-28,"NorthSolitary_West",28,3,2004,NA
153.3115,-30,2004-03-29,"NorthSolitary_West",29,3,2004,23.6399993896484
153.3115,-30,2004-03-30,"NorthSolitary_West",30,3,2004,24.293399887085
153.3115,-30,2004-03-31,"NorthSolitary_West",31,3,2004,NA
153.3115,-30,2004-04-01,"NorthSolitary_West",1,4,2004,24.6454000091553
153.3115,-30,2004-04-02,"NorthSolitary_West",2,4,2004,NA
153.3115,-30,2004-04-03,"NorthSolitary_West",3,4,2004,23.7204002380371
153.3115,-30,2004-04-04,"NorthSolitary_West",4,4,2004,23.8807898069683
153.3115,-30,2004-04-05,"NorthSolitary_West",5,4,2004,NA
153.3115,-30,2004-04-06,"NorthSolitary_West",6,4,2004,23.6281999969482
153.3115,-30,2004-04-07,"NorthSolitary_West",7,4,2004,NA
153.3115,-30,2004-04-08,"NorthSolitary_West",8,4,2004,NA
153.3115,-30,2004-04-09,"NorthSolitary_West",9,4,2004,NA
153.3115,-30,2004-04-10,"NorthSolitary_West",10,4,2004,24.5284001159668
153.3115,-30,2004-04-11,"NorthSolitary_West",11,4,2004,24.4013999938965
153.3115,-30,2004-04-12,"NorthSolitary_West",12,4,2004,23.6801998138428
153.3115,-30,2004-04-13,"NorthSolitary_West",13,4,2004,NA
153.3115,-30,2004-04-14,"NorthSolitary_West",14,4,2004,22.6481999969482
153.3115,-30,2004-04-15,"NorthSolitary_West",15,4,2004,23.2945999145508
153.3115,-30,2004-04-16,"NorthSolitary_West",16,4,2004,NA
153.3115,-30,2004-04-17,"NorthSolitary_West",17,4,2004,22.6983999633789
153.3115,-30,2004-04-18,"NorthSolitary_West",18,4,2004,NA
153.3115,-30,2004-04-19,"NorthSolitary_West",19,4,2004,NA
153.3115,-30,2004-04-20,"NorthSolitary_West",20,4,2004,22.7541998291016
153.3115,-30,2004-04-21,"NorthSolitary_West",21,4,2004,23.0019998931885
153.3115,-30,2004-04-22,"NorthSolitary_West",22,4,2004,22.8179998779297
153.3115,-30,2004-04-23,"NorthSolitary_West",23,4,2004,22.0501998901367
153.3115,-30,2004-04-24,"NorthSolitary_West",24,4,2004,21.9074999491374
153.3115,-30,2004-04-25,"NorthSolitary_West",25,4,2004,NA
153.3115,-30,2004-04-26,"NorthSolitary_West",26,4,2004,NA
153.3115,-30,2004-04-27,"NorthSolitary_West",27,4,2004,21.7349996566772
153.3115,-30,2004-04-28,"NorthSolitary_West",28,4,2004,NA
153.3115,-30,2004-04-29,"NorthSolitary_West",29,4,2004,NA
153.3115,-30,2004-04-30,"NorthSolitary_West",30,4,2004,22.0540003967285
153.3115,-30,2004-05-01,"NorthSolitary_West",1,5,2004,21.5693998718262
153.3115,-30,2004-05-02,"NorthSolitary_West",2,5,2004,NA
153.3115,-30,2004-05-03,"NorthSolitary_West",3,5,2004,21.1369999694824
153.3115,-30,2004-05-04,"NorthSolitary_West",4,5,2004,NA
153.3115,-30,2004-05-05,"NorthSolitary_West",5,5,2004,NA
153.3115,-30,2004-05-06,"NorthSolitary_West",6,5,2004,23.3713161066959
153.3115,-30,2004-05-07,"NorthSolitary_West",7,5,2004,NA
153.3115,-30,2004-05-08,"NorthSolitary_West",8,5,2004,NA
153.3115,-30,2004-05-09,"NorthSolitary_West",9,5,2004,22.7529997253418
153.3115,-30,2004-05-10,"NorthSolitary_West",10,5,2004,21.5866664250692
153.3115,-30,2004-05-11,"NorthSolitary_West",11,5,2004,NA
153.3115,-30,2004-05-12,"NorthSolitary_West",12,5,2004,22.6020000457764
153.3115,-30,2004-05-13,"NorthSolitary_West",13,5,2004,23.1128001403809
153.3115,-30,2004-05-14,"NorthSolitary_West",14,5,2004,22.6162001800537
153.3115,-30,2004-05-15,"NorthSolitary_West",15,5,2004,22.7495650415835
153.3115,-30,2004-05-16,"NorthSolitary_West",16,5,2004,22.7641999816895
153.3115,-30,2004-05-17,"NorthSolitary_West",17,5,2004,22.0922001647949
153.3115,-30,2004-05-18,"NorthSolitary_West",18,5,2004,NA
153.3115,-30,2004-05-19,"NorthSolitary_West",19,5,2004,21.8265908848156
153.3115,-30,2004-05-20,"NorthSolitary_West",20,5,2004,NA
153.3115,-30,2004-05-21,"NorthSolitary_West",21,5,2004,21.8444000244141
153.3115,-30,2004-05-22,"NorthSolitary_West",22,5,2004,NA
153.3115,-30,2004-05-23,"NorthSolitary_West",23,5,2004,NA
153.3115,-30,2004-05-24,"NorthSolitary_West",24,5,2004,21.8891999816895
153.3115,-30,2004-05-25,"NorthSolitary_West",25,5,2004,NA
153.3115,-30,2004-05-26,"NorthSolitary_West",26,5,2004,21.3670001983643
153.3115,-30,2004-05-27,"NorthSolitary_West",27,5,2004,NA
153.3115,-30,2004-05-28,"NorthSolitary_West",28,5,2004,21.358333269755
153.3115,-30,2004-05-29,"NorthSolitary_West",29,5,2004,21.8863637230613
153.3115,-30,2004-05-30,"NorthSolitary_West",30,5,2004,21.2587999725342
153.3115,-30,2004-05-31,"NorthSolitary_West",31,5,2004,21.2343996429443
153.3115,-30,2004-06-01,"NorthSolitary_West",1,6,2004,21.1603997802734
153.3115,-30,2004-06-02,"NorthSolitary_West",2,6,2004,NA
153.3115,-30,2004-06-03,"NorthSolitary_West",3,6,2004,NA
153.3115,-30,2004-06-04,"NorthSolitary_West",4,6,2004,21.1690002441406
153.3115,-30,2004-06-05,"NorthSolitary_West",5,6,2004,NA
153.3115,-30,2004-06-06,"NorthSolitary_West",6,6,2004,NA
153.3115,-30,2004-06-07,"NorthSolitary_West",7,6,2004,NA
153.3115,-30,2004-06-08,"NorthSolitary_West",8,6,2004,NA
153.3115,-30,2004-06-09,"NorthSolitary_West",9,6,2004,21.3802001190186
153.3115,-30,2004-06-10,"NorthSolitary_West",10,6,2004,NA
153.3115,-30,2004-06-11,"NorthSolitary_West",11,6,2004,20.5002939560834
153.3115,-30,2004-06-12,"NorthSolitary_West",12,6,2004,NA
153.3115,-30,2004-06-13,"NorthSolitary_West",13,6,2004,20.5435415903727
