"Longitude","Latitude","Date","Location","Day","Month","Year","sst_1d"
153.384,-30,2004-01-01,"NorthSolitary_West",1,1,2004,24.2399997711182
153.384,-30,2004-01-02,"NorthSolitary_West",2,1,2004,24.8400001525879
153.384,-30,2004-01-03,"NorthSolitary_West",3,1,2004,24.1700000762939
153.384,-30,2004-01-04,"NorthSolitary_West",4,1,2004,NA
153.384,-30,2004-01-05,"NorthSolitary_West",5,1,2004,NA
153.384,-30,2004-01-06,"NorthSolitary_West",6,1,2004,NA
153.384,-30,2004-01-07,"NorthSolitary_West",7,1,2004,NA
153.384,-30,2004-01-08,"NorthSolitary_West",8,1,2004,NA
153.384,-30,2004-01-09,"NorthSolitary_West",9,1,2004,24.0849990844727
153.384,-30,2004-01-10,"NorthSolitary_West",10,1,2004,NA
153.384,-30,2004-01-11,"NorthSolitary_West",11,1,2004,NA
153.384,-30,2004-01-12,"NorthSolitary_West",12,1,2004,NA
153.384,-30,2004-01-13,"NorthSolitary_West",13,1,2004,NA
153.384,-30,2004-01-14,"NorthSolitary_West",14,1,2004,NA
153.384,-30,2004-01-15,"NorthSolitary_West",15,1,2004,NA
153.384,-30,2004-01-16,"NorthSolitary_West",16,1,2004,NA
153.384,-30,2004-01-17,"NorthSolitary_West",17,1,2004,NA
153.384,-30,2004-01-18,"NorthSolitary_West",18,1,2004,23.5200004577637
153.384,-30,2004-01-19,"NorthSolitary_West",19,1,2004,NA
153.384,-30,2004-01-20,"NorthSolitary_West",20,1,2004,NA
153.384,-30,2004-01-21,"NorthSolitary_West",21,1,2004,NA
153.384,-30,2004-01-22,"NorthSolitary_West",22,1,2004,23.4449996948242
153.384,-30,2004-01-23,"NorthSolitary_West",23,1,2004,NA
153.384,-30,2004-01-24,"NorthSolitary_West",24,1,2004,NA
153.384,-30,2004-01-25,"NorthSolitary_West",25,1,2004,NA
153.384,-30,2004-01-26,"NorthSolitary_West",26,1,2004,24
153.384,-30,2004-01-27,"NorthSolitary_West",27,1,2004,NA
153.384,-30,2004-01-28,"NorthSolitary_West",28,1,2004,NA
153.384,-30,2004-01-29,"NorthSolitary_West",29,1,2004,NA
153.384,-30,2004-01-30,"NorthSolitary_West",30,1,2004,NA
153.384,-30,2004-01-31,"NorthSolitary_West",31,1,2004,24.1749992370605
153.384,-30,2004-02-01,"NorthSolitary_West",1,2,2004,24.8400001525879
153.384,-30,2004-02-02,"NorthSolitary_West",2,2,2004,NA
153.384,-30,2004-02-03,"NorthSolitary_West",3,2,2004,NA
153.384,-30,2004-02-04,"NorthSolitary_West",4,2,2004,24.6900005340576
153.384,-30,2004-02-05,"NorthSolitary_West",5,2,2004,NA
153.384,-30,2004-02-06,"NorthSolitary_West",6,2,2004,NA
153.384,-30,2004-02-07,"NorthSolitary_West",7,2,2004,25.0200004577637
153.384,-30,2004-02-08,"NorthSolitary_West",8,2,2004,NA
153.384,-30,2004-02-09,"NorthSolitary_West",9,2,2004,24.9899997711182
153.384,-30,2004-02-10,"NorthSolitary_West",10,2,2004,25.6849994659424
153.384,-30,2004-02-11,"NorthSolitary_West",11,2,2004,25.3150005340576
153.384,-30,2004-02-12,"NorthSolitary_West",12,2,2004,NA
153.384,-30,2004-02-13,"NorthSolitary_West",13,2,2004,24.3850002288818
153.384,-30,2004-02-14,"NorthSolitary_West",14,2,2004,NA
153.384,-30,2004-02-15,"NorthSolitary_West",15,2,2004,NA
153.384,-30,2004-02-16,"NorthSolitary_West",16,2,2004,24.5049991607666
153.384,-30,2004-02-17,"NorthSolitary_West",17,2,2004,NA
153.384,-30,2004-02-18,"NorthSolitary_West",18,2,2004,26.1550006866455
153.384,-30,2004-02-19,"NorthSolitary_West",19,2,2004,NA
153.384,-30,2004-02-20,"NorthSolitary_West",20,2,2004,26.25
153.384,-30,2004-02-21,"NorthSolitary_West",21,2,2004,NA
153.384,-30,2004-02-22,"NorthSolitary_West",22,2,2004,NA
153.384,-30,2004-02-23,"NorthSolitary_West",23,2,2004,NA
153.384,-30,2004-02-24,"NorthSolitary_West",24,2,2004,NA
153.384,-30,2004-02-25,"NorthSolitary_West",25,2,2004,NA
153.384,-30,2004-02-26,"NorthSolitary_West",26,2,2004,NA
153.384,-30,2004-02-27,"NorthSolitary_West",27,2,2004,25.3099994659424
153.384,-30,2004-02-28,"NorthSolitary_West",28,2,2004,NA
153.384,-30,2004-02-29,"NorthSolitary_West",29,2,2004,NA
153.384,-30,2004-03-01,"NorthSolitary_West",1,3,2004,NA
153.384,-30,2004-03-02,"NorthSolitary_West",2,3,2004,NA
153.384,-30,2004-03-03,"NorthSolitary_West",3,3,2004,NA
153.384,-30,2004-03-04,"NorthSolitary_West",4,3,2004,NA
153.384,-30,2004-03-05,"NorthSolitary_West",5,3,2004,NA
153.384,-30,2004-03-06,"NorthSolitary_West",6,3,2004,NA
153.384,-30,2004-03-07,"NorthSolitary_West",7,3,2004,24.7849998474121
153.384,-30,2004-03-08,"NorthSolitary_West",8,3,2004,NA
153.384,-30,2004-03-09,"NorthSolitary_West",9,3,2004,25.8050003051758
153.384,-30,2004-03-10,"NorthSolitary_West",10,3,2004,NA
153.384,-30,2004-03-11,"NorthSolitary_West",11,3,2004,NA
153.384,-30,2004-03-12,"NorthSolitary_West",12,3,2004,24.7600002288818
153.384,-30,2004-03-13,"NorthSolitary_West",13,3,2004,25.4950008392334
153.384,-30,2004-03-14,"NorthSolitary_West",14,3,2004,NA
153.384,-30,2004-03-15,"NorthSolitary_West",15,3,2004,NA
153.384,-30,2004-03-16,"NorthSolitary_West",16,3,2004,26.4500007629395
153.384,-30,2004-03-17,"NorthSolitary_West",17,3,2004,NA
153.384,-30,2004-03-18,"NorthSolitary_West",18,3,2004,NA
153.384,-30,2004-03-19,"NorthSolitary_West",19,3,2004,25.9699993133545
153.384,-30,2004-03-20,"NorthSolitary_West",20,3,2004,25.8400001525879
153.384,-30,2004-03-21,"NorthSolitary_West",21,3,2004,NA
153.384,-30,2004-03-22,"NorthSolitary_West",22,3,2004,NA
153.384,-30,2004-03-23,"NorthSolitary_West",23,3,2004,NA
