FID,id,Route,Latitude,Longitude,SampleDateUTC,Year,Month,Day,Time_24hr,Amphipod,Appendicularian_Fritillariidae,Appendicularian_Oikopleuridae,Appendicularian_Other,Ascidian,Bryozoan,Cephalopod,Chaetognath,Ciliophora_Tintinnid,Cirripedia,Cladoceran,Cnidarian_Medusae,Cnidarian_Other,Cnidarian_Siphonophore,Copepod_Bivalvia,Copepod_Calanoid,Copepod_Cyclopoid,Copepod_Harpacticoid,Copepod_Other,Copepod_Poecilostomatoida,Ctenophore,Decapod,Echinoderm,Egg,Euphausiid,Fish,Fish_Egg,Forams,Isopod,Mollusc,Mollusc_Bivalvia,Mollusc_Gastropod,Mollusc_Other,Mysida,Nematode,Noctilucaceae,Ostracod,Platyhelminthes,Polychaete,Polychaete_Trochophore,Radiozoa,Sipunculid,Thaliacean_Doliolidae,Thaliacean_Other,Thaliacean_Pyrosomatidae,Thaliacean_Salpidae,Thecostraca,Urochordata,geom
cpr_zoop_htg_map.fid-2520f43b_178b413d073_-225f,25426,BRSY,-28.3423,153.8139,2009-06-26T22:08:06Z,2009,6,26,22:08:06,0,0,0,0,0,0,0,0,0.6667,0,0,0,0,0,0,0,0,0.6667,0,0,0,1.3334,0,0,0,0,0,0,0,0,0,0,0,0,3.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (153.81389 -28.34227)
cpr_zoop_htg_map.fid-2520f43b_178b413d073_-225e,25427,BRSY,-28.676,153.8109,2009-06-26T23:12:48Z,2009,6,26,23:12:48,0,0.6667,2,0,0,0,0,0,18.6667,0,5.3333,0,0.6667,0,0,0,0,8.0002,1.3334,1.3334,8,3.3334,0,6.6667,0,0,0,0,0,0,0,0,0,0,1.3333,0,0,0,0,0,0,0,0,0,0,3.3333,0,0,POINT (153.81092 -28.67602)
cpr_zoop_htg_map.fid-2520f43b_178b413d073_-225d,25428,BRSY,-29.0067,153.7558,2009-06-27T00:17:30Z,2009,6,27,0:17:30,0.6667,0,0.6667,0,0,0,0,0,7.3333,0,0.6667,0,0,0,0,0,0,20.6666,4,0,2.6666,6.6668,0,1.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,0,0,POINT (153.7558 -29.00665)
cpr_zoop_htg_map.fid-2520f43b_178b413d073_-225c,25429,BRSY,-29.3373,153.7003,2009-06-27T01:22:12Z,2009,6,27,1:22:12,0,0,5.3333,0,0,0,0.6667,0,10.6667,0,4.6667,1.3334,0,0,0,0,0,64.6672,6.6667,0,11.3333,30.6667,0,5.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.3333,0,0,POINT (153.70033 -29.33726)
cpr_zoop_htg_map.fid-2520f43b_178b413d073_-225b,25430,BRSY,-29.6679,153.6445,2009-06-27T02:26:54Z,2009,6,27,2:26:54,0,0,2,0,0,0,0,0,15.3333,0,0,1.3333,0,0,0,0,0,16.6667,0.6667,0,14.6666,8.6667,0,2.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,0,0,0,2,0,0,POINT (153.6445 -29.66785)
cpr_zoop_htg_map.fid-2520f43b_178b413d073_-225a,25431,BRSY,-29.7505,153.6305,2009-06-27T02:43:04Z,2009,6,27,2:43:04,0,0,3.3333,0,0,0,0,0,8.6667,0,0,0,0,0,0.6667,0,0,18.0002,0,0,6,14.6667,0,3.3334,0,0.6667,0,0,0,0,0,0,0,0,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (153.63048 -29.75049)
cpr_zoop_htg_map.fid-2520f43b_178b413d073_-2259,25432,BRSY,-30.4033,153.4692,2009-06-27T04:52:29Z,2009,6,27,4:52:29,0,0,3.3333,0,0,0,0,0,9.3333,0,0,1.3333,0,0,0,0,0,21.3335,0.6667,0,10,11.3335,0,2,0,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,0,0,0,0,0,0,POINT (153.46916 -30.40335)
cpr_zoop_htg_map.fid-2520f43b_178b413d073_-2258,25433,BRSY,-30.7283,153.3794,2009-06-27T05:57:11Z,2009,6,27,5:57:11,0,0,0,0,0,0,0,0,2.6667,0,0,0,0,0,0,0,0,3.3334,0,0,2,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (153.37943 -30.72829)
cpr_zoop_htg_map.fid-2520f43b_178b413d073_-2257,25434,BRSY,-30.972,153.3117,2009-06-27T06:45:42Z,2009,6,27,6:45:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6667,0,0,5.3334,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (153.31174 -30.97196)
cpr_zoop_htg_map.fid-2520f43b_178b413d073_-2256,25435,BRSY,-31.2968,153.2209,2009-06-27T07:50:24Z,2009,6,27,7:50:24,0,0,0.6667,0,0,0,0,0,11.3333,0,0,0.6667,0,0,0,0,0,28.6668,2.6667,0,6.6666,6,0,2,0,1.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,0,0,0,0,0,0,POINT (153.22095 -31.2968)
