Survey,StartUTC,Lat,Lon,Project,MARLIN,MARLIN UUID,Averaging Period,U Ship,V Ship,Bottom Depth,Depth,U,V,Avg QC,Bin Attendance
SS200408,2/09/2004 4:00,-33.844,151.358,National Facility External Users: J. Middleton (University of NSW),6384,f07cf68b-5a14-4600-a28d-8e58e3b823e0,1200,5.29,0.07,68,16.8,-0.05,-0.03,7.2,89
SS200408,2/09/2004 4:00,-33.844,151.358,National Facility External Users: J. Middleton (University of NSW),6384,f07cf68b-5a14-4600-a28d-8e58e3b823e0,1200,5.29,0.07,68,24.8,-0.02,-0.05,6,89
SS200408,2/09/2004 4:00,-33.844,151.358,National Facility External Users: J. Middleton (University of NSW),6384,f07cf68b-5a14-4600-a28d-8e58e3b823e0,1200,5.29,0.07,68,32.8,0.01,-0.04,6.7,89
SS200408,2/09/2004 4:00,-33.844,151.358,National Facility External Users: J. Middleton (University of NSW),6384,f07cf68b-5a14-4600-a28d-8e58e3b823e0,1200,5.29,0.07,68,40.8,0.01,-0.05,6,89
SS200408,2/09/2004 4:00,-33.844,151.358,National Facility External Users: J. Middleton (University of NSW),6384,f07cf68b-5a14-4600-a28d-8e58e3b823e0,1200,5.29,0.07,68,48.8,0.03,-0.07,6.8,59
SS200408,2/09/2004 4:20,-33.832,151.425,National Facility External Users: J. Middleton (University of NSW),6384,f07cf68b-5a14-4600-a28d-8e58e3b823e0,1200,5.39,1.45,111,16.8,-0.05,0,6.6,100
SS200408,2/09/2004 4:20,-33.832,151.425,National Facility External Users: J. Middleton (University of NSW),6384,f07cf68b-5a14-4600-a28d-8e58e3b823e0,1200,5.39,1.45,111,24.8,-0.02,0.01,6.4,100
SS200408,2/09/2004 4:20,-33.832,151.425,National Facility External Users: J. Middleton (University of NSW),6384,f07cf68b-5a14-4600-a28d-8e58e3b823e0,1200,5.39,1.45,111,32.8,0,0,6.4,99
SS200408,2/09/2004 4:20,-33.832,151.425,National Facility External Users: J. Middleton (University of NSW),6384,f07cf68b-5a14-4600-a28d-8e58e3b823e0,1200,5.39,1.45,111,40.8,0.02,-0.02,6.4,99
SS200408,2/09/2004 4:20,-33.832,151.425,National Facility External Users: J. Middleton (University of NSW),6384,f07cf68b-5a14-4600-a28d-8e58e3b823e0,1200,5.39,1.45,111,48.8,0.03,-0.05,6,99
SS200408,2/09/2004 4:20,-33.832,151.425,National Facility External Users: J. Middleton (University of NSW),6384,f07cf68b-5a14-4600-a28d-8e58e3b823e0,1200,5.39,1.45,111,56.8,0.01,-0.02,6.5,99
SS200408,2/09/2004 4:20,-33.832,151.425,National Facility External Users: J. Middleton (University of NSW),6384,f07cf68b-5a14-4600-a28d-8e58e3b823e0,1200,5.39,1.45,111,64.8,-0.01,-0.02,6.2,99
