FID,STATION_NAME,LOCAL_TRIP_START_TIME,IMOS_SITE_CODE,NRS_TRIP_CODE,NRS_SAMPLE_CODE,UTC_TRIP_START_TIME,LATITUDE,LONGITUDE,SAMPLE_DEPTH_M,SALINITY,SALINITY_FLAG,SALINITY_COMMENTS,SILICATE_UMOL_PER_L,SILICATE_FLAG,NITRATE_UMOL_PER_L,NITRATE_FLAG,PHOSPHATE_UMOL_PER_L,PHOSPHATE_FLAG,AMMONIUM_UMOL_PER_L,AMMONIUM_FLAG,NUTRIENT_COMMENTS,TCO2_UMOL_PER_KG,CARBON_FLAG,CARBON_COMMENTS,TALKALINITY_UMOL_PER_KG,ALKALINITY_FLAG,ALKALINITY_COMMENTS,OXYGEN_UMOL_PER_L,OXYGEN_FLAG,OXYGEN_COMMENTS,geom
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-516,North Stradbroke,17/09/2009 8:30,NRSNSI,NRSNSI20090916,NRSNSI20090916_000,2009-09-16T22:30:00Z,-27.345,153.562,0,35.335,1,,0,1,0,1,0.05,1,0.09,1,,1991.11,1,,2304.71,1,WOCE - average of duplicates,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-515,North Stradbroke,17/09/2009 8:30,NRSNSI,NRSNSI20090916,NRSNSI20090916_010,2009-09-16T22:30:00Z,-27.345,153.562,10,35.339,1,,0,1,0.1,1,0.06,1,0.02,1,,1995.48,1,,2306.18,1,WOCE - average of duplicates,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-514,North Stradbroke,17/09/2009 8:30,NRSNSI,NRSNSI20090916,NRSNSI20090916_020,2009-09-16T22:30:00Z,-27.345,153.562,20,35.444,1,,0,1,0.1,1,0.24,1,0.36,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-513,North Stradbroke,17/09/2009 8:30,NRSNSI,NRSNSI20090916,NRSNSI20090916_030,2009-09-16T22:30:00Z,-27.345,153.562,30,35.525,1,,1.3,1,2.7,1,0.28,1,0.44,1,,2052.57,1,,2318,1,WOCE - average of duplicates,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-512,North Stradbroke,17/09/2009 8:30,NRSNSI,NRSNSI20090916,NRSNSI20090916_040,2009-09-16T22:30:00Z,-27.345,153.562,40,35.44,1,,1,1,1.9,1,0.2,1,0.21,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-511,North Stradbroke,17/09/2009 8:30,NRSNSI,NRSNSI20090916,NRSNSI20090916_050,2009-09-16T22:30:00Z,-27.345,153.562,50,35.465,1,,2.3,1,3.9,1,0.34,1,0.43,1,,2074.71,1,,2319.32,1,WOCE - average of duplicates,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-510,North Stradbroke,17/09/2009 8:30,NRSNSI,NRSNSI20090916,NRSNSI20090916_057,2009-09-16T22:30:00Z,-27.345,153.562,57,35.457,1,,2.9,1,6.1,1,0.48,1,0.43,1,,2099.02,2,WOCE - questionable data,2322.42,1,WOCE - average of duplicates,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-50f,North Stradbroke,7/10/2009 9:07,NRSNSI,NRSNSI20091006,NRSNSI20091006_000,2009-10-06T23:07:00Z,-27.345,153.562,0,,9,,0,1,0.1,1,0.07,1,0.22,1,,1988.35,1,,2307.69,1,WOCE - average of duplicates,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-50e,North Stradbroke,7/10/2009 9:07,NRSNSI,NRSNSI20091006,NRSNSI20091006_010,2009-10-06T23:07:00Z,-27.345,153.562,10,,9,,0,1,0,1,0.06,1,0.18,1,,1988.02,1,,2307.05,1,WOCE - average of duplicates,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-50d,North Stradbroke,7/10/2009 9:07,NRSNSI,NRSNSI20091006,NRSNSI20091006_020,2009-10-06T23:07:00Z,-27.345,153.562,20,,9,,0.1,1,0.1,1,0.07,1,0.27,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-50c,North Stradbroke,7/10/2009 9:07,NRSNSI,NRSNSI20091006,NRSNSI20091006_030,2009-10-06T23:07:00Z,-27.345,153.562,30,,9,,0.3,1,0.1,1,0.1,1,0.23,1,,2005.14,1,,2313.29,1,WOCE - average of duplicates,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-50b,North Stradbroke,7/10/2009 9:07,NRSNSI,NRSNSI20091006,NRSNSI20091006_040,2009-10-06T23:07:00Z,-27.345,153.562,40,,9,,0.3,1,0,1,0.09,1,0.18,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-50a,North Stradbroke,7/10/2009 9:07,NRSNSI,NRSNSI20091006,NRSNSI20091006_050,2009-10-06T23:07:00Z,-27.345,153.562,50,,9,,0.7,1,0.6,1,0.17,1,0.46,1,,2038.04,1,,2328.25,1,WOCE - average of duplicates,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-509,North Stradbroke,7/10/2009 9:07,NRSNSI,NRSNSI20091006,NRSNSI20091006_057,2009-10-06T23:07:00Z,-27.345,153.562,57,,9,,0.9,1,1.3,1,0.22,1,0.55,1,,2046.88,1,,2327.35,1,WOCE - average of duplicates,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-508,North Stradbroke,15/10/2009 10:10,NRSNSI,NRSNSI20091015,NRSNSI20091015_000,2009-10-15T00:10:00Z,-27.345,153.562,0,,9,,0.1,1,0.3,1,0.12,1,0.6,2,ammonia could be contaminated when sampled,2000.88,1,,2317.72,1,WOCE - average of duplicates,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-507,North Stradbroke,15/10/2009 10:10,NRSNSI,NRSNSI20091015,NRSNSI20091015_010,2009-10-15T00:10:00Z,-27.345,153.562,10,,9,,0,1,0.4,1,0.12,1,1.05,2,ammonia could be contaminated when sampled,1996.26,1,,2315.29,1,WOCE - average of duplicates,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-506,North Stradbroke,15/10/2009 10:10,NRSNSI,NRSNSI20091015,NRSNSI20091015_020,2009-10-15T00:10:00Z,-27.345,153.562,20,,9,,0,1,0.3,1,0.13,1,0.45,2,ammonia could be contaminated when sampled,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-505,North Stradbroke,15/10/2009 10:10,NRSNSI,NRSNSI20091015,NRSNSI20091015_030,2009-10-15T00:10:00Z,-27.345,153.562,30,,9,,0.2,1,0.3,1,0.11,1,0.42,1,,2003.17,1,,2317.54,1,WOCE - average of duplicates,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-504,North Stradbroke,15/10/2009 10:10,NRSNSI,NRSNSI20091015,NRSNSI20091015_040,2009-10-15T00:10:00Z,-27.345,153.562,40,,9,,0.4,1,0.4,1,0.13,1,0.17,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-503,North Stradbroke,15/10/2009 10:10,NRSNSI,NRSNSI20091015,NRSNSI20091015_050,2009-10-15T00:10:00Z,-27.345,153.562,50,,9,,0.7,1,1.2,1,0.18,1,0.34,1,,2025.72,1,,2318.43,1,WOCE - average of duplicates,,9,,POINT (153.562 -27.345)
