FID,id,NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,SST_C,ChlorophyllMonthlyClimatology_mg_m3,ChlorophyllSatellite_mg_m3,ZoopAbundance_m3,CopepodAbundance_m3,AvgTotalLengthCopepod_mm,HerbivoreCarnivoreCopepodRatio,NoCopepodSpecies_Sample,ShannonCopepodDiversity,CopepodEvenness,ZooBiomass_mgCarbon_m3,Salinity_psu,Silicate_umol_L,Nitrate_umol_L,Ammonium_umol_L,Phosphate_umol_L,TotalCarbon_umol_kg,TotalAlkalinity_umol_kg,Oxygen_umol_L,PhytoBiomass_Carbon_pg_L,AbundancePhyto_cells_L,DiatomDinoflagellateRatio,AvgCellVolume_um3,NoPhytoSpecies_Sample,ShannonPhytoDiversity,PhytoEvenness,NoDiatomSpecies_Sample,ShannonDiatomDiversity,DiatomEvenness,NoDinoSpecies_Sample,ShannonDinoDiversity,DinoflagellateEvenness,geom
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f69,650,PHB20181120,Port Hacking,-34.1192,151.2267,2018-11-21T10:05:00Z,2018,11,21,10:05:00,-999,-999,-999,8791.2861,1166.9847,0.6806,0.985,28,126.6175,37.9981,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f68,657,PHB20180927,Port Hacking,-34.1192,151.2267,2018-09-27T11:40:00Z,2018,9,27,11:40:00,18.5235,-999,2.6763,4278.9438,1315.5099,0.6007,1,21,104.504,34.3253,3.9846,35.55,1.93,3.8,0.47,0.38,2089.5701,2337.0701,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f67,661,PHB20180905,Port Hacking,-34.1192,151.2267,2018-09-05T12:23:00Z,2018,9,5,12:23:00,16.4635,-999,1.5023,2616.875,968.9509,0.5641,0.996,28,191.3419,57.422,16.4744,-999,1.15,1.43,0.49,0.23,2075.6399,2341.21,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f66,668,PHB20180724,Port Hacking,-34.1192,151.2267,2018-07-25T10:12:00Z,2018,7,25,10:12:00,17.7127,-999,0.724,2602.729,2150.0808,0.5487,0.977,39,187.9908,51.3137,1.9303,35.69,0.93,2.64,0.08,0.25,2073.1799,2339.2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f65,679,PHB20180528,Port Hacking,-34.1192,151.2267,2018-05-29T10:04:00Z,2018,5,29,10:04:00,20.5048,-999,0.4947,4363.8154,2631.02,0.6188,0.966,45,221.3809,58.1562,5.5434,35.7,1.02,1.84,1.09,0.24,2068.6299,2343.5801,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f64,688,PHB20180326,Port Hacking,-34.1192,151.2267,2018-03-27T09:45:00Z,2018,3,27,09:45:00,22.7106,0.501,0.7895,1368.5547,1145.7667,0.7127,0.965,41,178.8734,48.1675,2.9838,35.54,1.65,4.08,0.17,0.36,2076.7,2330.8701,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f63,694,PHB20180221,Port Hacking,-34.1192,151.2267,2018-02-22T09:21:00Z,2018,2,22,09:21:00,24.1469,0.543,0.3044,2270.3149,1718.6495,0.6548,0.943,47,237.5807,61.7069,5.5882,35.55,2.06,3.77,0.27,0.36,2082.6899,2331.0601,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f62,700,PHB20180123,Port Hacking,-34.1192,151.2267,2018-01-24T10:20:00Z,2018,1,24,10:20:00,22.751,0.4028,-999,2270.3152,1421.599,0.7003,0.948,34,164.5331,46.658,5.3619,35.56,1.51,3.28,0.16,0.32,2081.5701,2332.79,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f61,707,PHB20171211,Port Hacking,-34.1192,151.2267,2017-12-12T09:12:00Z,2017,12,12,09:12:00,21.6638,0.4197,0.1589,11193.5303,1284.6226,0.6496,0.978,34,148.4509,42.0975,7.7384,35.53,1.11,2.98,0.93,0.3,2080.3101,2331.4099,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f60,715,PHB20171024,Port Hacking,-34.1192,151.2267,2017-10-25T09:01:00Z,2017,10,25,09:01:00,19.4535,1.2158,0.5072,1467.5729,217.4841,0.8755,0.961,24,118.9084,37.4155,2.6208,35.48,2.15,4.52,0.24,0.45,2089.26,2328.8401,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f5f,721,PHB20170921,Port Hacking,-34.1192,151.2267,2017-09-21T08:48:00Z,2017,9,21,08:48:00,18.2346,1.4645,0.5933,783.2951,350.0958,0.7692,0.981,29,159.2454,47.2918,5.4056,35.57,-999,-999,-999,-999,2086.04,2333.49,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f5e,726,PHB20170821,Port Hacking,-34.1192,151.2267,2017-08-21T10:55:00Z,2017,8,21,10:55:00,18.8591,0.6402,0.2833,2333.969,1492.3257,0.664,0.967,41,210.0379,56.5595,4.3799,35.63,1.83,3.65,0.31,0.37,2077.6699,2336.46,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f5d,732,PHB20170716,Port Hacking,-34.1192,151.2267,2017-07-17T09:42:00Z,2017,7,17,09:42:00,19.7652,0.6205,0.3831,1721.0092,1225.9241,0.63,0.959,39,274.4514,74.9138,1.8507,35.65,1.47,2.63,0.33,0.26,2061.3101,2335.76,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f5c,738,PHB20170614,Port Hacking,-34.1192,151.2267,2017-06-15T10:17:00Z,2017,6,15,10:17:00,19.8845,0.6187,0.4199,3755.5686,2970.5063,0.6278,0.958,49,255.7645,65.7185,1.9428,35.72,0.85,1.02,0.24,0.15,2053.6799,2339.97,-999,11056819,180102,0.153,4079818,40,46.6892,12.6567,16,98.1049,35.3839,10,7.928,3.4431,POINT (151.22667 -34.11923)
